participant,Matching,rt,corr
20,Matching,392.6796429,1
20,Matching,527.3817424,1
20,Matching,371.6066517,1
20,Matching,454.7927678,1
20,Matching,481.0985345,1
20,Matching,487.8534321,0
20,Matching,468.0453613,0
20,Matching,590.5212965,1
20,Matching,517.6534466,1
20,Matching,576.4105953,1
20,Matching,402.3984019,1
20,Matching,463.0854521,1
20,Matching,345.8721954,1
20,Matching,354.534667,1
20,Matching,641.8227162,1
20,Nonmatching,1051.204635,1
20,Nonmatching,1669.139478,1
20,Nonmatching,870.9739763,1
20,Nonmatching,509.9440459,1
20,Nonmatching,950.5269062,1
20,Nonmatching,469.2285061,1
20,Nonmatching,539.7790428,1
20,Nonmatching,957.8741211,1
20,Nonmatching,842.4282689,0
20,Nonmatching,749.9333136,1
20,Nonmatching,570.1690093,1
20,Nonmatching,581.6756357,1
20,Nonmatching,1189.404478,1
20,Nonmatching,1155.286007,1
20,Nonmatching,1730.375297,1
20,Nonmatching,740.0286999,1
20,Nonmatching,573.8858338,1
20,Nonmatching,609.163681,1
20,Nonmatching,636.6568245,1
20,Nonmatching,553.3319116,1
21,Nonmatching,1862.746827,1
21,Nonmatching,958.5773889,1
21,Nonmatching,539.0117392,1
21,Nonmatching,805.7259955,1
21,Nonmatching,1367.605826,1
21,Nonmatching,2252.104416,1
21,Nonmatching,772.4938449,1
21,Nonmatching,1077.450344,1
21,Nonmatching,657.0916716,1
21,Nonmatching,707.5530849,1
21,Nonmatching,1012.830084,1
21,Nonmatching,861.7026526,1
21,Nonmatching,551.5154637,1
21,Nonmatching,567.1442542,1
21,Nonmatching,571.5551712,1
21,Nonmatching,644.306168,1
21,Nonmatching,761.242846,1
21,Nonmatching,549.2238682,1
21,Nonmatching,611.5427259,1
21,Nonmatching,702.2481337,1
21,Matching,831.5035868,1
21,Matching,933.1862703,1
21,Matching,662.1989608,1
21,Matching,604.1895933,1
21,Matching,617.1742883,1
21,Matching,682.8084588,1
21,Matching,605.3046118,1
21,Matching,690.7583941,1
21,Matching,407.1043655,1
21,Matching,521.091748,1
21,Matching,566.7248406,1
21,Matching,1282.546438,1
21,Matching,601.0092795,1
21,Matching,749.6225461,1
21,Matching,1533.295285,1
21,Matching,589.0618078,1
21,Matching,581.6112161,1
21,Matching,606.4537875,1
21,Matching,729.1200664,1
21,Matching,419.1891085,1
22,Nonmatching,1986.102423,1
22,Nonmatching,1116.247227,1
22,Nonmatching,1657.258762,1
22,Nonmatching,671.2413188,1
22,Nonmatching,445.1046623,1
22,Nonmatching,445.2978168,1
22,Nonmatching,435.1783283,0
22,Nonmatching,725.3156397,1
22,Nonmatching,542.275859,1
22,Nonmatching,425.6930407,1
22,Nonmatching,370.9511571,1
22,Nonmatching,525.2860542,1
22,Nonmatching,446.4875031,1
22,Nonmatching,695.7961172,1
22,Nonmatching,385.9951086,1
22,Nonmatching,545.7684938,1
22,Nonmatching,576.2642771,1
22,Nonmatching,384.5396098,1
22,Nonmatching,475.8102186,1
22,Nonmatching,605.6681089,1
22,Matching,782.4678048,1
22,Matching,905.7552442,1
22,Matching,521.8148604,1
22,Matching,375.4471801,1
22,Matching,1495.699229,1
22,Matching,1816.132586,1
22,Matching,1201.962441,1
22,Matching,626.4394168,1
22,Matching,1186.708625,1
22,Matching,941.8637455,1
22,Matching,565.8707768,1
22,Matching,515.9963965,1
22,Matching,1126.530288,1
22,Matching,386.3652274,1
22,Matching,935.586676,1
22,Matching,646.5630848,1
22,Matching,575.539194,1
22,Matching,615.733793,1
22,Matching,681.0085922,1
22,Matching,445.211824,1
23,Nonmatching,799.369932,1
23,Nonmatching,632.889831,1
23,Nonmatching,551.730201,1
23,Nonmatching,486.274415,0
23,Nonmatching,624.745065,1
23,Nonmatching,543.080805,1
23,Nonmatching,631.6543521,1
23,Nonmatching,622.1880211,1
23,Nonmatching,644.642262,1
23,Nonmatching,607.06837,1
23,Nonmatching,571.6436179,1
23,Nonmatching,596.280055,1
23,Nonmatching,624.677936,1
23,Nonmatching,617.434182,1
23,Nonmatching,767.899876,1
23,Nonmatching,650.1308299,1
23,Nonmatching,684.597801,1
23,Nonmatching,614.855448,1
23,Nonmatching,641.800976,1
23,Nonmatching,520.325912,1
23,Matching,717.773286,1
23,Matching,915.84633,1
23,Matching,562.259288,1
23,Matching,592.831507,1
23,Matching,782.856707,1
23,Matching,621.22414,1
23,Matching,613.637242,1
23,Matching,702.340272,1
23,Matching,638.8571761,1
23,Matching,620.954524,1
23,Matching,637.822913,1
23,Matching,996.1394269,1
23,Matching,650.632424,1
23,Matching,715.102377,1
23,Matching,609.710457,1
23,Matching,557.91451,1
23,Matching,528.516315,1
23,Matching,627.840569,1
23,Matching,643.850332,1
23,Matching,543.7330269,1
24,Nonmatching,1662.038628,1
24,Nonmatching,561.0620268,1
24,Nonmatching,536.736656,1
24,Nonmatching,441.0038106,1
24,Nonmatching,555.8347851,1
24,Nonmatching,926.2405969,1
24,Nonmatching,745.3050502,1
24,Nonmatching,576.2774479,1
24,Nonmatching,875.8327365,1
24,Nonmatching,645.175375,1
24,Nonmatching,441.4183553,1
24,Nonmatching,922.6768073,1
24,Nonmatching,645.212492,1
24,Nonmatching,685.3917558,1
24,Nonmatching,624.9722727,1
24,Nonmatching,565.5289423,1
24,Nonmatching,705.5182308,1
24,Nonmatching,545.5275122,1
24,Nonmatching,604.7955044,1
24,Nonmatching,497.6154082,1
24,Matching,1365.994675,1
24,Matching,825.4793081,1
24,Matching,985.818902,1
24,Matching,1010.715315,1
24,Matching,737.3723276,1
24,Matching,946.1476486,1
24,Matching,1127.005842,1
24,Matching,965.6882286,1
24,Matching,805.3200264,1
24,Matching,1061.778808,1
24,Matching,1167.40269,1
24,Matching,835.7908633,1
24,Matching,987.02842,1
24,Matching,752.116777,1
24,Matching,585.5404641,1
24,Matching,736.9516958,1
24,Matching,780.964097,1
24,Matching,806.5598886,1
24,Matching,775.6857313,1
24,Matching,666.2685573,1
25,Matching,556.1332405,1
25,Matching,346.4873694,1
25,Matching,363.0237244,1
25,Matching,632.1885623,1
25,Matching,532.8027438,1
25,Matching,436.1119755,1
25,Matching,467.9995663,1
25,Matching,424.3430831,0
25,Matching,448.5605564,1
25,Matching,853.1738464,1
25,Matching,391.4310094,1
25,Matching,468.8477777,1
25,Matching,518.9503916,1
25,Matching,540.6150352,1
25,Matching,455.786936,1
25,Matching,490.9651354,1
25,Matching,531.0728103,1
25,Matching,461.6861437,1
25,Matching,502.0550303,1
25,Matching,462.8257621,1
25,Nonmatching,556.1849177,1
25,Nonmatching,526.2397975,1
25,Nonmatching,514.9324853,1
25,Nonmatching,536.1317601,1
25,Nonmatching,610.0723669,1
25,Nonmatching,535.1587366,1
25,Nonmatching,937.4622423,1
25,Nonmatching,589.4119684,0
25,Nonmatching,561.9969871,1
25,Nonmatching,588.534316,1
25,Nonmatching,513.6256516,1
25,Nonmatching,671.4654323,1
25,Nonmatching,550.5135786,1
25,Nonmatching,884.4362982,1
25,Nonmatching,535.4814213,1
25,Nonmatching,752.1367986,1
