"","Subject","Block","Trial","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"72",1,1,52,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.266806924,0,1266.806924,"You","Stranger"
"73",1,1,53,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","They","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.850192206,1,850.192206,"You","Stranger"
"74",1,1,54,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","They","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.016796166,1,1016.796166,"Self","Self"
"75",1,1,55,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.016804062,1,1016.804062,"They","Group-Stranger"
"76",1,1,56,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.666796817,1,666.796817,"Self","Self"
"77",1,1,57,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.033497976,1,1033.497976,"We","Group-Self"
"78",1,1,58,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.283501628,1,1283.501628,"Self","Self"
"79",1,1,59,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.183496061,1,1183.496061,"We","Group-Self"
"80",1,1,60,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.166818729,1,1166.818729,"You","Stranger"
"81",1,1,61,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.883503049,1,883.503049,"You","Stranger"
"82",1,1,62,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","They","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.966845496,1,966.845496,"You","Stranger"
"83",1,1,63,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.800170867,1,800.170867,"We","Group-Self"
"84",1,1,64,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","You","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.966861288,1,966.861288,"They","Group-Stranger"
"85",1,1,65,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.983447028,1,983.447028,"They","Group-Stranger"
"86",1,1,66,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.266868512,1,1266.868512,"Self","Self"
"87",1,1,67,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.05013425,1,1050.13425,"You","Stranger"
"88",1,1,68,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.016847884,1,1016.847884,"You","Stranger"
"89",1,1,69,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","You","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.050182415,1,1050.182415,"They","Group-Stranger"
"90",1,1,70,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.950172111,1,950.172111,"You","Stranger"
"91",1,1,71,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.033492449,1,1033.492449,"You","Stranger"
"92",1,1,72,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.750125446,1,750.125446,"We","Group-Self"
"93",1,1,73,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","They","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.850114037,1,850.114037,"You","Stranger"
"94",1,1,74,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","You","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.800165735,1,800.165735,"Self","Self"
"95",1,1,75,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","Self","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.833485658,1,833.485658,"They","Group-Stranger"
"96",1,1,76,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.283453858,1,1283.453858,"You","Stranger"
"97",1,1,77,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","They","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.100151246,1,1100.151246,"Self","Self"
"98",1,1,78,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.866854537,1,866.854537,"You","Stranger"
"99",1,1,79,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.816818985,1,816.818985,"They","Group-Stranger"
"100",1,1,80,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","You","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.81685807,1,816.85807,"Self","Self"
"101",1,1,81,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","Self","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.833507767,1,833.507767,"They","Group-Stranger"
"102",1,1,82,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.750153082,0,750.153082,"They","Group-Stranger"
"103",1,1,83,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.833517637,1,833.517637,"Self","Self"
