"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Shape","Label","Response","RT_sec","ACC","Subjcet"
"120",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.867,1,1
"121",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.8,1,1
"122",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1,1,1
"123",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.9,1,1
"124",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",1.067,1,1
"125",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.784,1,1
"126",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",1.2,1,1
"127",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.967,1,1
"128",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.767,1,1
"129",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.867,1,1
"130",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.6,1,1
"131",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.833,1,1
"132",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.833,1,1
"133",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.917,1,1
"134",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.967,1,1
"135",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.733,1,1
"136",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.934,1,1
"137",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.717,1,1
"138",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.717,1,1
"139",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.75,1,1
"140",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.7,1,1
"141",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","You","You","n",0.7,1,1
"142",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.7,1,1
"143",1,"Male",26,"r","Hungarian","Match","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","You","You","n",0.817,1,1
"144",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",1.167,1,1
"145",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",0.934,1,1
"146",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",1.167,1,1
"147",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",0.933,1,1
"148",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",1.2,1,1
"149",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",1.033,1,1
"150",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",1.183,1,1
"151",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",1.05,1,1
"152",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",1.017,1,1
"153",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",0.833,1,1
"154",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",0.834,1,1
"155",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",1.017,1,1
"156",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",1.4,1,1
"157",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",0.75,1,1
"158",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",1.017,1,1
"159",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",0.817,1,1
"160",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",1,1,1
"161",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",0.883,1,1
"162",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",0.9,1,1
"163",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",1.3,1,1
"164",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",1,1,1
"165",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",1.067,1,1
"166",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",1.1,1,1
"167",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",0.95,1,1
"168",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",0.8,1,1
"169",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",0.883,1,1
"170",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","You","m",0.9,1,1
"171",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",0.883,1,1
"172",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",0.833,1,1
"173",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",0.867,1,1
"174",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","They","m",0.734,1,1
"175",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","You","m",0.817,1,1
"176",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","Self","We","m",1.083,1,1
"177",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","They","m",0.85,1,1
"178",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",0.717,1,1
"179",1,"Male",26,"r","Hungarian","Mismatch","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","Self","We","m",0.85,1,1
"180",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","We","m",1.25,1,1
"181",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","Self","m",0.967,1,1
"182",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","We","m",1.1,1,1
"183",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","You","m",1.05,1,1
"184",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","You","m",0.85,1,1
"185",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","Self","m",1.017,1,1
"186",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","You","m",0.967,1,1
"187",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","You","m",0.85,1,1
"188",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","Self","m",1.1,1,1
"189",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","Self","m",1.083,1,1
"190",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","We","m",0.95,1,1
"191",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","Self","n",0.517,0,1
"192",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","We","m",1.2,1,1
"193",1,"Male",26,"r","Hungarian","Mismatch","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","You","m",0.75,1,1
