VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
24,22,0,1,2,-127.577380952381,-155.110119047619,-141.34375,-.620113990894907,-.793890854599624,-.44633712719019,3,3,2,1,0,2,4,6,0,7,4,6,823.619047619048,886.363636363636,705.791666666667,779.130434782609,686.291666666667,850.130434782609,865.809523809524,887.894736842105,698.875,853.5,722.52380952381,880.5,-27.5327380952381,887.129186602871,865.315217391304,816.315217391304,4.5,4,4
25,31,0,1,2,87.2836728488902,82.9181096681098,85.1008912585,.690461833483397,1.05585420054825,.325069466418539,0,2,2,3,3,5,3,4,3,4,7,6,662.038461538462,821.954545454545,719.826086956522,839.05,778.818181818182,833,621.190476190476,731.227272727273,696.772727272727,778.4,711.444444444444,804.631578947368,-4.36556318078044,776.590909090909,818.815789473684,808.725,3,5.5,3.5
26,21,1,0,2,-6.78461538461534,-49.8681286549709,-28.3263720197931,.373477021123678,.641174144821382,.105779897425974,5,4,5,13,6,9,3,10,3,13,5,7,661.133333333333,779,620.466666666667,688.636363636364,688.230769230769,737.230769230769,670.7,770.533333333333,615.611111111111,695.333333333333,626.052631578947,678,-43.0835132703555,774.766666666667,707.615384615385,691.984848484848,7,8,13
27,19,1,1,2,66.065,107.526515151515,86.7957575757576,.687550506685664,1.03887728706825,.336223726303075,0,1,5,1,4,1,1,4,3,3,3,4,542.96,613.791666666667,590.55,630.24,627.5,609.260869565217,526.291666666667,612.285714285714,610.681818181818,627.6,656.954545454545,599.333333333333,41.4615151515152,613.03869047619,604.297101449275,628.92,2.5,2.5,2
28,27,0,0,2,54.8208333333333,115.337474120083,85.0791537267081,.656401819702193,.66784201418815,.644961625216236,1,2,1,3,6,5,1,1,1,2,3,5,665.958333333333,856.045454545455,706.958333333333,879.142857142857,734.6,806.263157894737,597.304347826087,880.772727272727,715.521739130435,830.95652173913,709.761904761905,865.285714285714,60.5166407867495,868.409090909091,835.774436090226,855.049689440994,1.5,5,2.5
29,20,0,1,2,-20.1437747035573,-4.29962406015034,-12.2216993818538,.0286417334372224,.5567823247028,-.499498857828355,1,1,3,0,6,3,6,5,5,6,3,1,543.086956521739,571.130434782609,544.636363636364,594.304347826087,501.25,584.157894736842,520.421052631579,582.65,505.1,556.833333333333,527.142857142857,568.636363636364,15.844150643407,576.890217391304,576.397129186603,575.56884057971,3,2,3
30,20,0,0,2,-46.9416666666666,15.1978021978023,-15.8719322344322,-.476390651416015,-.410668466370417,-.542112836461614,13,17,12,12,7,16,18,17,11,16,11,13,660.9,753.142857142857,574.416666666667,657.071428571429,653.5,873.285714285714,872.714285714286,752.75,910.285714285714,688,865.538461538462,862.384615384615,62.1394688644689,752.946428571429,867.835164835165,672.535714285714,17,14.5,14
31,23,1,1,2,173.237577639752,120.247272727273,146.742425183512,1.22790005085262,1.51204262940317,.943757472302063,2,0,5,5,5,5,0,3,1,6,5,3,542.869565217391,719.56,694.714285714286,726.315789473684,737.5,718.684210526316,622.88,783.666666666667,639.954545454545,812.941176470588,846.3,728.35,-52.9903049124788,751.613333333333,723.517105263158,769.628482972136,1.5,4,5.5
32,19,0,0,2,-69.4089912280701,-61.5692307692308,-65.4891109986505,.0148988197422644,.0297976394845287,0,1,3,0,4,4,2,0,0,0,0,0,0,935.291666666667,969.428571428571,787.291666666667,1008.6875,944.473684210526,944.391304347826,838.84,820.833333333333,724.461538461538,874.576923076923,830.08,845.708333333333,7.83976045883935,895.130952380952,895.04981884058,941.632211538462,1.5,1,2
33,23,1,1,2,29.7629399585921,69.7952380952381,49.7790890269151,.400388625555179,.427281700993707,.37349555011665,0,3,4,2,1,1,0,2,4,1,0,2,662,771.681818181818,667.047619047619,756.333333333333,716.478260869565,702.416666666667,625.24,775.217391304348,722.190476190476,745.958333333333,667.88,756.6,40.032298136646,773.449604743083,729.508333333333,751.145833333333,2.5,1.5,1.5
