VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
22,19,1,1,1,147.498333333333,203.96688034188,175.732606837607,1.07074255742265,-1.42832264017022,-.713162474675092,0,0,0,6,4,2,0,0,0,0,4,1,542.041666666667,664.32,666.28,702.263157894737,712.8,748.545454545455,530.769230769231,641.88,677.75,724.272727272727,791.722222222222,759.291666666667,56.4685470085471,653.1,753.918560606061,713.267942583732,0,1.5,3
23,21,0,0,1,170.828846153846,135.972431077694,153.40063861577,.37838481949538,-.431700172572222,-.325069466418539,1,7,4,3,12,3,4,3,6,4,7,3,681.875,824.176470588235,815.1,854.818181818182,890.307692307692,853.75,673.904761904762,810.090909090909,769.421052631579,807.35,850.333333333333,844.52380952381,-34.856415076152,817.133689839572,849.136904761905,831.084090909091,5,3,3.5
24,24,0,1,1,64.9683333333334,140.74802631579,102.858179824561,-.759763370999186,.873558932023177,.645967809975194,1,5,0,1,1,1,3,1,0,0,3,1,629.666666666667,725.52380952381,653.52,751.541666666667,735.75,734.380952380952,584.65,764.944444444444,673.375,750.04347826087,777.421052631579,750.904761904762,75.7796929824561,745.234126984127,742.642857142857,750.792572463768,3,1,.5
25,19,0,0,1,48.2295833333333,43.1011904761905,45.6653869047619,.105724541405748,-.941588470966589,.730139388155092,1,3,3,6,9,4,3,1,2,1,0,0,600.76,661.619047619048,621.666666666667,723.35,676.3125,720.315789473684,609.190476190476,658.565217391304,662.041666666667,682.190476190476,642.541666666667,669.32,-5.12839285714279,660.092132505176,694.817894736842,702.770238095238,2,2,3.5
26,24,1,1,1,199.238333333333,198.196428571429,198.717380952381,1.16472439670261,-1.04573697942456,-1.28371181398066,0,1,3,0,7,3,1,1,5,4,4,7,605.92,719.833333333333,800.85,767.952380952381,809.466666666667,768.714285714286,521.375,638.791666666667,702.333333333333,754.15,736.809523809524,667.5,-1.04190476190456,679.3125,718.107142857143,761.05119047619,1,5,2
27,20,0,0,1,132.837215320911,112.388333333333,122.612774327122,.218392215072332,-.319246812823076,-.117537617321588,0,1,0,0,3,2,1,0,2,0,1,0,625.541666666667,782.782608695652,700.04347826087,730.416666666667,816.714285714286,781.826086956522,631.32,720.346153846154,703.083333333333,744.458333333333,784.333333333333,785.47619047619,-20.4488819875777,751.564381270903,783.651138716356,737.4375,.5,1,0
28,23,0,1,1,171.836454849498,113.231467391304,142.533961120401,.554872449529626,-.442647267236889,-.667097631822363,0,8,2,2,11,2,0,8,2,6,10,2,615.6,760,712.565217391304,762,862.307692307692,802,577.24,705.529411764706,617.130434782609,746.944444444444,763.8125,761.761904761905,-58.6049874581939,732.764705882353,781.880952380952,754.472222222222,8,2,4
29,19,0,0,1,-14.4120082815734,35.2875494071146,10.4377705627706,.166096370114699,-.541376120059929,.20918337983053,1,0,1,0,2,3,1,1,0,2,2,0,701.173913043478,766.5,615,803,758.52380952381,800.363636363636,691.75,758.571428571429,652.347826086957,780.285714285714,801.727272727273,825.958333333333,49.6995576886881,762.535714285714,813.160984848485,791.642857142857,.5,1.5,1
30,21,0,1,1,129.51718426501,37.2207792207791,83.3689817428947,-.783993583021056,.286918388856106,1.28106877718601,4,5,3,1,9,3,4,7,3,1,2,0,659.619047619048,718.052631578947,743.739130434783,862.958333333333,834.533333333333,861.454545454545,688,730.473684210526,652.714285714286,834.5,797.727272727273,858.84,-92.2964050442312,724.263157894737,860.147272727273,848.729166666667,6,1.5,1
31,19,0,0,1,-30.8188537549407,29.3860606060606,-.716396574440068,-.218392215072333,.255495346378546,.181289083766119,1,2,0,1,3,1,0,3,1,0,1,1,677.565217391304,709.565217391304,587.72,706.681818181818,705.772727272727,739,612.72,680.142857142857,599.666666666667,666.730769230769,684.545454545455,680.666666666667,60.2049143610013,694.854037267081,709.833333333333,686.706293706294,2.5,1,.5
32,19,0,1,1,3.46846179183137,59.0996376811594,31.2840497364954,-.264215096326804,.306300885416752,.222129307236854,1,3,1,0,2,3,2,1,2,1,2,0,678.347826086957,763.095238095238,679.541666666667,777.038461538462,684.090909090909,800.9,623.791666666667,684.260869565217,626,732,739.782608695652,752.208333333333,55.631175889328,723.678053830228,776.554166666667,754.519230769231,2,1.5,.5
33,31,0,0,1,59.4825,108.861666666667,84.1720833333333,.670353931867476,-.49303085825827,-.847677005476681,0,1,0,2,0,6,0,0,0,3,0,3,673.4,820.36,741.125,831.55,724.64,898.526315789474,675.76,834,795.083333333333,798.521739130435,774.16,867,49.3791666666667,827.18,882.763157894737,815.035869565217,.5,4.5,2.5
34,18,0,1,1,85.1375,91.3549783549784,88.2462391774892,1.55921106518002,-2.37588599928794,-.742536131072097,0,0,5,3,9,8,1,2,2,1,10,5,707,833.041666666667,765.15,850.47619047619,819.125,943.9375,710.333333333333,902.5,778.090909090909,884.166666666667,825.285714285714,923.315789473684,6.21747835497831,867.770833333333,933.626644736842,867.321428571429,1,6.5,2
35,21,0,0,1,98.2202540106952,134.77619047619,116.498222243443,.238217854649167,-.269285624721451,-.207150084576884,2,2,7,3,1,2,1,3,6,2,2,1,657.636363636364,834.285714285714,748.588235294118,756.952380952381,763.125,836.6,632.2,823.409090909091,798.333333333333,754.318181818182,735.619047619048,798.727272727273,36.5559364654953,828.847402597403,817.663636363636,755.635281385281,2.5,1.5,2.5
36,19,0,1,1,81.2294372294373,-106.359486166008,-12.5650244682853,.117019097941168,-.146423419447072,-.0876147764352648,3,4,5,6,4,2,0,3,0,4,1,1,698.619047619048,894.315789473684,791.333333333333,865.157894736842,768.363636363636,840.739130434783,899.4,802.047619047619,786.863636363636,976.3125,799.217391304348,860.782608695652,-187.588923395445,848.181704260652,850.760869565217,920.735197368421,3.5,1.5,5
37,20,0,0,1,-139.428442028986,-24.7497835497836,-82.0891127893846,-.657991628102598,.738040554467037,.577942701738159,1,6,2,0,1,2,5,7,2,5,4,3,886.541666666667,853.611111111111,722.434782608696,794.695652173913,771.791666666667,953.272727272727,825.2,869.333333333333,773.090909090909,867.947368421053,827.809523809524,888.047619047619,114.678658479202,861.472222222222,920.660173160173,831.321510297483,6.5,2.5,2.5
38,22,0,1,1,215.09678041257,155.82298136646,185.459880889515,.50649768026088,-.158850355474992,-.854145005046767,0,5,2,3,4,0,0,2,3,5,2,1,544.153846153846,803.714285714286,797.263157894737,861.8,721.238095238095,827.47619047619,571.826086956522,787.047619047619,769.869565217391,792.947368421053,685.428571428571,788.611111111111,-59.2737990461103,795.380952380952,808.043650793651,827.373684210526,3.5,.5,4
39,21,0,0,1,49.7036613272311,23.0644736842105,36.3840675057208,1.11655809932818,-1.46471348062663,-.76840271802974,0,1,2,3,5,6,3,1,4,3,6,5,618.652173913043,685.434782608696,664.869565217391,672.318181818182,671.842105263158,709.6,629.6,653.521739130435,649.75,686.45,655.578947368421,645,-26.6391876430206,669.478260869565,677.3,679.384090909091,1,5.5,3
