"","Subject","Block","Bin","Trial","Age","Gender","Handedness","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Morality","Response","RT_ms","RT_sec","ACC"
"128",7302,2,1,8,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",754.3,0.7543,1
"129",7302,2,1,9,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",630.4,0.6304,1
"130",7302,2,1,10,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",522.4,0.5224,1
"131",7302,2,1,11,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","n",644.6,0.6446,0
"132",7302,2,1,12,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",886.7,0.8867,1
"133",7302,2,1,13,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",704.8,0.7048,1
"134",7302,2,1,14,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","n",703,0.703,0
"135",7302,2,1,15,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",669,0.669,1
"136",7302,2,1,16,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",617.2,0.6172,1
"137",7302,2,1,17,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",623.3,0.6233,1
"138",7302,2,1,18,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",573.5,0.5735,1
"139",7302,2,1,19,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",693.6,0.6936,1
"140",7302,2,1,20,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","m",1013.6,1.0136,0
"141",7302,2,1,21,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","n",821.8,0.8218,1
"142",7302,2,1,22,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",643.9,0.6439,1
"143",7302,2,1,23,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","m",710,0.71,0
"144",7302,2,1,24,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",914.1,0.9141,1
"145",7302,2,2,1,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",734.3,0.7343,1
"146",7302,2,2,2,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",646.4,0.6464,1
"147",7302,2,2,3,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","m",576.5,0.5765,0
"148",7302,2,2,4,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",656.6,0.6566,1
"149",7302,2,2,5,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",808.9,0.8089,1
"150",7302,2,2,6,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",624.8,0.6248,1
"151",7302,2,2,7,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",710.9,0.7109,1
"152",7302,2,2,8,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",619.1,0.6191,1
"153",7302,2,2,9,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",417.1,0.4171,1
"154",7302,2,2,10,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",433.3,0.4333,1
"155",7302,2,2,11,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",693.4,0.6934,1
"156",7302,2,2,12,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",701.5,0.7015,1
"157",7302,2,2,13,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",571.7,0.5717,1
"158",7302,2,2,14,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",955.7,0.9557,1
"159",7302,2,2,15,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",783.8,0.7838,1
"160",7302,2,2,16,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","n",854,0.854,1
"161",7302,2,2,17,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","n",950.1,0.9501,0
"162",7302,2,2,18,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",706.2,0.7062,1
"163",7302,2,2,19,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",664.4,0.6644,1
"164",7302,2,2,20,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",766.4,0.7664,1
"165",7302,2,2,21,22,"female","R","immoralSelf","moralOther","Nonmatching","Self","Self","Self","Bad","n",640.6,0.6406,1
"166",7302,2,2,22,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",682.7,0.6827,1
"167",7302,2,2,23,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad","n",884.8,0.8848,1
"168",7302,2,2,24,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",646.9,0.6469,1
