"","Subject","Label","Shape","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"334",2,"Self","Friend","Matching","Friend","Friend","Close",407,0.407,1
"335",2,"Self","Friend","Matching","Friend","Friend","Close",602,0.602,1
"336",2,"Self","Friend","Matching","Friend","Friend","Close",830,0.83,1
"337",2,"Self","Friend","Matching","Friend","Friend","Close",1022,1.022,1
"338",2,"Self","Friend","Matching","Friend","Friend","Close",1070,1.07,1
"339",2,"Self","Friend","Matching","Friend","Friend","Close",368,0.368,1
"340",2,"Self","Friend","Matching","Friend","Friend","Close",373,0.373,1
"341",2,"Self","Friend","Matching","Friend","Friend","Close",560,0.56,1
"342",2,"Self","Friend","Matching","Friend","Friend","Close",362,0.362,1
"343",2,"Self","Friend","Matching","Friend","Friend","Close",945,0.945,1
"344",2,"Self","Friend","Matching","Friend","Friend","Close",637,0.637,1
"345",2,"Self","Friend","Matching","Friend","Friend","Close",632,0.632,1
"346",2,"Self","Friend","Matching","Friend","Friend","Close",722,0.722,1
"347",2,"Self","Friend","Matching","Friend","Friend","Close",882,0.882,1
"348",2,"Self","Friend","Matching","Friend","Friend","Close",674,0.674,1
"349",2,"Self","Friend","Matching","Friend","Friend","Close",775,0.775,1
"350",2,"Self","Friend","Matching","Friend","Friend","Close",476,0.476,1
"351",2,"Self","Friend","Matching","Friend","Friend","Close",543,0.543,1
"352",2,"Self","Friend","Matching","Friend","Friend","Close",601,0.601,1
"353",2,"Self","Friend","Matching","Friend","Friend","Close",401,0.401,1
"354",2,"Self","Friend","Matching","Friend","Friend","Close",678,0.678,1
"355",2,"Self","Friend","Matching","Friend","Friend","Close",686,0.686,1
"356",2,"Self","Friend","Matching","Friend","Friend","Close",365,0.365,1
"357",2,"Self","Friend","Matching","Friend","Friend","Close",431,0.431,1
"358",2,"Self","Friend","Matching","Friend","Friend","Close",686,0.686,1
"359",2,"Self","Friend","Matching","Friend","Friend","Close",350,0.35,1
"360",2,"Self","Friend","Matching","Friend","Friend","Close",529,0.529,1
"361",2,"Self","Friend","Matching","Friend","Friend","Close",559,0.559,1
"362",2,"Self","Friend","Matching","Friend","Friend","Close",498,0.498,1
"363",2,"Self","Friend","Matching","Friend","Friend","Close",616,0.616,1
"364",2,"Self","Friend","Matching","Friend","Friend","Close",418,0.418,1
"365",2,"Self","Friend","Matching","Friend","Friend","Close",422,0.422,1
"366",2,"Self","Friend","Matching","Friend","Friend","Close",367,0.367,1
"367",2,"Self","Friend","Matching","Friend","Friend","Close",467,0.467,1
"368",2,"Self","Friend","Matching","Friend","Friend","Close",406,0.406,1
"369",2,"Self","Friend","Matching","Friend","Friend","Close",363,0.363,1
"370",2,"Self","Friend","Matching","Friend","Friend","Close",512,0.512,1
"371",2,"Self","Friend","Matching","Friend","Friend","Close",515,0.515,1
"372",2,"Friend","Friend","Matching","Friend","Friend","Close",517,0.517,1
"373",2,"Friend","Friend","Matching","Friend","Friend","Close",689,0.689,1
"374",2,"Friend","Friend","Matching","Friend","Friend","Close",493,0.493,1
"375",2,"Friend","Friend","Matching","Friend","Friend","Close",685,0.685,1
"376",2,"Friend","Friend","Matching","Friend","Friend","Close",841,0.841,1
