age,handedness,participant_id,sex,block_order,shape,match,block,responseKey,respRt,respCorr
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6802206,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfS,a,0.6237583,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfS,a,0.5734384,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.7785156,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.8595172,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.705295,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.6457602,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.7489635,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.5564044,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.5112644,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.701752,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.9091232,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.486615,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.461477,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.8822847,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.5187137,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.5293095,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.7076255,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.9345858,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.6437435,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,1.0164601,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8486616,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.8084989,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,l,0.8618303,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.7415309,1
