"Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC"
3,"female",35,"bn",698,0.698,0
3,"female",35,"bn",939,0.939,1
3,"female",35,"bn",933,0.933,1
3,"female",35,"bn",527,0.527,1
3,"female",35,"bn",848,0.848,0
3,"female",35,"im",0,0,0
3,"female",35,"im",566,0.566,1
3,"female",35,"im",506,0.506,1
3,"female",35,"im",846,0.846,1
3,"female",35,"im",668,0.668,1
3,"female",35,"im",700,0.7,1
3,"female",35,"im",687,0.687,0
3,"female",35,"im",519,0.519,1
3,"female",35,"im",496,0.496,1
3,"female",35,"im",608,0.608,1
3,"female",35,"im",609,0.609,0
3,"female",35,"im",650,0.65,1
3,"female",35,"im",481,0.481,1
3,"female",35,"im",525,0.525,0
3,"female",35,"im",705,0.705,1
3,"female",35,"im",616,0.616,1
3,"female",35,"im",667,0.667,1
3,"female",35,"im",452,0.452,0
3,"female",35,"in",315,0.315,1
3,"female",35,"in",794,0.794,0
3,"female",35,"in",924,0.924,1
3,"female",35,"in",774,0.774,1
3,"female",35,"in",688,0.688,0
3,"female",35,"in",803,0.803,0
3,"female",35,"in",475,0.475,0
3,"female",35,"in",737,0.737,1
3,"female",35,"in",723,0.723,1
3,"female",35,"in",550,0.55,0
3,"female",35,"in",566,0.566,1
3,"female",35,"in",298,0.298,0
3,"female",35,"in",550,0.55,1
3,"female",35,"in",542,0.542,0
3,"female",35,"in",795,0.795,1
3,"female",35,"in",721,0.721,0
3,"female",35,"in",286,0.286,0
3,"female",35,"in",444,0.444,0
3,"female",35,"mm",604,0.604,0
3,"female",35,"mm",425,0.425,1
3,"female",35,"mm",633,0.633,1
3,"female",35,"mm",790,0.79,0
3,"female",35,"mm",637,0.637,1
3,"female",35,"mm",648,0.648,1
3,"female",35,"mm",650,0.65,1
3,"female",35,"mm",766,0.766,0
3,"female",35,"mm",751,0.751,1
3,"female",35,"mm",457,0.457,1
3,"female",35,"mm",550,0.55,1
3,"female",35,"mm",471,0.471,1
3,"female",35,"mm",567,0.567,1
3,"female",35,"mm",870,0.87,1
3,"female",35,"mm",630,0.63,1
3,"female",35,"mm",724,0.724,1
3,"female",35,"mm",462,0.462,1
3,"female",35,"mm",564,0.564,1
3,"female",35,"mn",339,0.339,0
3,"female",35,"mn",568,0.568,1
3,"female",35,"mn",648,0.648,1
3,"female",35,"mn",656,0.656,1
3,"female",35,"mn",876,0.876,1
3,"female",35,"mn",760,0.76,1
3,"female",35,"mn",795,0.795,1
3,"female",35,"mn",636,0.636,0
3,"female",35,"mn",0,0,0
3,"female",35,"mn",525,0.525,1
3,"female",35,"mn",801,0.801,0
3,"female",35,"mn",521,0.521,1
3,"female",35,"mn",572,0.572,1
3,"female",35,"mn",751,0.751,1
3,"female",35,"mn",949,0.949,1
3,"female",35,"mn",688,0.688,1
3,"female",35,"mn",635,0.635,0
3,"female",35,"mn",454,0.454,1
3,"female",35,"nm",484,0.484,0
3,"female",35,"nm",578,0.578,1
3,"female",35,"nm",735,0.735,0
3,"female",35,"nm",938,0.938,1
3,"female",35,"nm",632,0.632,0
3,"female",35,"nm",687,0.687,0
3,"female",35,"nm",619,0.619,0
3,"female",35,"nm",531,0.531,1
3,"female",35,"nm",281,0.281,1
3,"female",35,"nm",734,0.734,1
3,"female",35,"nm",649,0.649,0
3,"female",35,"nm",606,0.606,1
3,"female",35,"nm",404,0.404,0
3,"female",35,"nm",625,0.625,0
3,"female",35,"nm",580,0.58,0
3,"female",35,"nm",409,0.409,1
3,"female",35,"nm",731,0.731,1
3,"female",35,"nm",678,0.678,0
3,"female",35,"nn",513,0.513,1
3,"female",35,"nn",206,0.206,1
3,"female",35,"nn",490,0.49,1
3,"female",35,"nn",789,0.789,0
3,"female",35,"nn",790,0.79,1
3,"female",35,"nn",699,0.699,1
3,"female",35,"nn",651,0.651,1
3,"female",35,"nn",520,0.52,1
3,"female",35,"nn",0,0,0
3,"female",35,"nn",666,0.666,1
3,"female",35,"nn",880,0.88,1
3,"female",35,"nn",609,0.609,0
3,"female",35,"nn",1014,1.014,1
3,"female",35,"nn",611,0.611,1
3,"female",35,"nn",621,0.621,1
3,"female",35,"nn",868,0.868,1
3,"female",35,"nn",853,0.853,1
3,"female",35,"nn",614,0.614,0
4,"male",24,"bm",0,0,0
4,"male",24,"bm",890,0.89,0
4,"male",24,"bm",0,0,0
4,"male",24,"bm",1368,1.368,1
4,"male",24,"bm",635,0.635,1
4,"male",24,"bm",1124,1.124,1
4,"male",24,"bm",748,0.748,0
4,"male",24,"bm",1223,1.223,0
4,"male",24,"bm",724,0.724,0
4,"male",24,"bm",889,0.889,1
4,"male",24,"bm",630,0.63,1
4,"male",24,"bm",981,0.981,1
4,"male",24,"bm",948,0.948,1
4,"male",24,"bm",945,0.945,0
4,"male",24,"bm",880,0.88,1
4,"male",24,"bm",704,0.704,1
4,"male",24,"bm",620,0.62,1
4,"male",24,"bm",696,0.696,0
4,"male",24,"bn",952,0.952,1
4,"male",24,"bn",1162,1.162,1
4,"male",24,"bn",667,0.667,1
4,"male",24,"bn",1141,1.141,1
4,"male",24,"bn",614,0.614,1
4,"male",24,"bn",647,0.647,1
4,"male",24,"bn",833,0.833,1
4,"male",24,"bn",761,0.761,1
4,"male",24,"bn",690,0.69,1
4,"male",24,"bn",714,0.714,1
4,"male",24,"bn",857,0.857,1
4,"male",24,"bn",625,0.625,1
4,"male",24,"bn",675,0.675,1
4,"male",24,"bn",871,0.871,0
4,"male",24,"bn",1140,1.14,1
4,"male",24,"bn",657,0.657,1
4,"male",24,"bn",404,0.404,1
4,"male",24,"bn",632,0.632,1
4,"male",24,"im",0,0,0
4,"male",24,"im",815,0.815,1
4,"male",24,"im",547,0.547,1
4,"male",24,"im",1010,1.01,0
4,"male",24,"im",702,0.702,1
4,"male",24,"im",697,0.697,1
4,"male",24,"im",611,0.611,1
4,"male",24,"im",388,0.388,1
4,"male",24,"im",426,0.426,1
4,"male",24,"im",805,0.805,1
4,"male",24,"im",601,0.601,1
4,"male",24,"im",673,0.673,1
4,"male",24,"im",544,0.544,1
4,"male",24,"im",675,0.675,1
4,"male",24,"im",542,0.542,1
4,"male",24,"im",1110,1.11,1
4,"male",24,"im",948,0.948,1
4,"male",24,"im",612,0.612,0
4,"male",24,"in",1088,1.088,1
4,"male",24,"in",1126,1.126,1
4,"male",24,"in",636,0.636,1
4,"male",24,"in",765,0.765,1
4,"male",24,"in",760,0.76,1
4,"male",24,"in",746,0.746,1
4,"male",24,"in",863,0.863,1
4,"male",24,"in",1081,1.081,0
4,"male",24,"in",635,0.635,0
4,"male",24,"in",658,0.658,1
4,"male",24,"in",644,0.644,1
4,"male",24,"in",692,0.692,1
4,"male",24,"in",581,0.581,1
4,"male",24,"in",767,0.767,1
4,"male",24,"in",682,0.682,1
4,"male",24,"in",700,0.7,1
4,"male",24,"in",912,0.912,1
4,"male",24,"in",1262,1.262,1
4,"male",24,"mm",473,0.473,1
4,"male",24,"mm",574,0.574,1
4,"male",24,"mm",769,0.769,1
4,"male",24,"mm",647,0.647,1
4,"male",24,"mm",480,0.48,1
4,"male",24,"mm",398,0.398,1
4,"male",24,"mm",645,0.645,1
4,"male",24,"mm",375,0.375,1
4,"male",24,"mm",645,0.645,1
4,"male",24,"mm",608,0.608,1
4,"male",24,"mm",533,0.533,1
4,"male",24,"mm",575,0.575,1
4,"male",24,"mm",543,0.543,1
4,"male",24,"mm",531,0.531,1
4,"male",24,"mm",544,0.544,1
4,"male",24,"mm",469,0.469,1
4,"male",24,"mm",681,0.681,1
4,"male",24,"mm",489,0.489,1
4,"male",24,"mn",955,0.955,0
4,"male",24,"mn",623,0.623,1
4,"male",24,"mn",1102,1.102,1
4,"male",24,"mn",750,0.75,1
4,"male",24,"mn",0,0,0
4,"male",24,"mn",642,0.642,1
4,"male",24,"mn",538,0.538,1
4,"male",24,"mn",740,0.74,0
4,"male",24,"mn",671,0.671,1
4,"male",24,"mn",577,0.577,1
4,"male",24,"mn",826,0.826,1
4,"male",24,"mn",855,0.855,0
4,"male",24,"mn",845,0.845,1
4,"male",24,"mn",1088,1.088,0
4,"male",24,"mn",755,0.755,1
4,"male",24,"mn",566,0.566,0
4,"male",24,"mn",680,0.68,1
4,"male",24,"mn",701,0.701,1
4,"male",24,"nm",1410,1.41,1
4,"male",24,"nm",1224,1.224,1
4,"male",24,"nm",901,0.901,1
4,"male",24,"nm",949,0.949,1
4,"male",24,"nm",487,0.487,0
4,"male",24,"nm",678,0.678,0
4,"male",24,"nm",631,0.631,1
4,"male",24,"nm",611,0.611,0
4,"male",24,"nm",1175,1.175,1
4,"male",24,"nm",886,0.886,1
4,"male",24,"nm",1062,1.062,1
4,"male",24,"nm",1145,1.145,1
4,"male",24,"nm",1049,1.049,1
4,"male",24,"nm",851,0.851,1
4,"male",24,"nm",580,0.58,1
4,"male",24,"nm",1169,1.169,0
4,"male",24,"nm",604,0.604,1
4,"male",24,"nm",688,0.688,1
4,"male",24,"nn",921,0.921,1
4,"male",24,"nn",694,0.694,1
4,"male",24,"nn",906,0.906,1
4,"male",24,"nn",799,0.799,1
4,"male",24,"nn",830,0.83,1
4,"male",24,"nn",702,0.702,1
4,"male",24,"nn",734,0.734,1
4,"male",24,"nn",677,0.677,1
4,"male",24,"nn",1228,1.228,1
4,"male",24,"nn",741,0.741,1
4,"male",24,"nn",781,0.781,1
4,"male",24,"nn",697,0.697,1
4,"male",24,"nn",1212,1.212,1
4,"male",24,"nn",963,0.963,1
4,"male",24,"nn",868,0.868,1
4,"male",24,"nn",919,0.919,1
4,"male",24,"nn",797,0.797,1
4,"male",24,"nn",616,0.616,1
5,"female",19,"bm",466,0.466,1
5,"female",19,"bm",268,0.268,0
5,"female",19,"bm",568,0.568,0
5,"female",19,"bm",708,0.708,1
5,"female",19,"bm",538,0.538,1
5,"female",19,"bm",398,0.398,1
