"Participant.Public.ID ""Trial.Number"" ""Reaction.Time"" ""Response"" ""Correct"" ""Incorrect"" ""Label"" ""Model"" ""P_Group"" ""P_Orginal"" ""ACC_Mat"""
"115 ""61298eaadde17b9139f37d89"" 51 697 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.90625"
"116 ""61298eaadde17b9139f37d89"" 52 901 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.90625"
"117 ""61298eaadde17b9139f37d89"" 53 695 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.90625"
"118 ""61298eaadde17b9139f37d89"" 54 713 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.90625"
"119 ""61298eaadde17b9139f37d89"" 55 658 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.90625"
"120 ""61298eaadde17b9139f37d89"" 56 556 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.90625"
"121 ""61298eaadde17b9139f37d89"" 57 1180 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.90625"
"122 ""61298eaadde17b9139f37d89"" 58 1066 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.90625"
"123 ""61298eaadde17b9139f37d89"" 59 861 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.90625"
"124 ""61298eaadde17b9139f37d89"" 60 1407 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.90625"
"125 ""61298eaadde17b9139f37d89"" 61 792 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.90625"
"126 ""61298eaadde17b9139f37d89"" 62 746 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.90625"
"127 ""61298eaadde17b9139f37d89"" 63 1129 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.90625"
"128 ""61298eaadde17b9139f37d89"" 64 612 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.90625"
"129 ""563fa227074be600115e9642"" 1 5409.5 ""right"" 0 1 ""Stranger"" ""f27"" ""User"" ""JA"" 0.828125"
"130 ""563fa227074be600115e9642"" 2 653 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.828125"
"131 ""563fa227074be600115e9642"" 3 2422.60000002384 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.828125"
"132 ""563fa227074be600115e9642"" 4 2480.5 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.828125"
