"","Subject","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
"15396",44,"Stranger","Nonmatching","Stranger","Stranger","Stranger","1",325,0.325,1
"15397",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15398",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15399",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15400",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15401",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15402",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15403",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15404",45,"Friend","Matching","Friend","Friend","Close","1",NA,NA,NA
"15405",45,"Friend","Matching","Friend","Friend","Close","1",543,0.543,1
"15406",45,"Friend","Matching","Friend","Friend","Close","1",433,0.433,1
"15407",45,"Friend","Matching","Friend","Friend","Close","1",568,0.568,1
"15408",45,"Friend","Matching","Friend","Friend","Close","1",545,0.545,1
"15409",45,"Friend","Matching","Friend","Friend","Close","1",574,0.574,1
"15410",45,"Friend","Matching","Friend","Friend","Close","1",679,0.679,0
"15411",45,"Friend","Matching","Friend","Friend","Close","1",664,0.664,1
"15412",45,"Friend","Matching","Friend","Friend","Close","1",605,0.605,1
"15413",45,"Friend","Matching","Friend","Friend","Close","1",524,0.524,1
"15414",45,"Friend","Matching","Friend","Friend","Close","1",640,0.64,1
"15415",45,"Friend","Matching","Friend","Friend","Close","1",504,0.504,1
"15416",45,"Friend","Matching","Friend","Friend","Close","1",631,0.631,1
"15417",45,"Friend","Matching","Friend","Friend","Close","1",752,0.752,1
"15418",45,"Friend","Matching","Friend","Friend","Close","1",601,0.601,1
"15419",45,"Friend","Matching","Friend","Friend","Close","1",0,0,0
"15420",45,"Friend","Matching","Friend","Friend","Close","1",429,0.429,1
"15421",45,"Friend","Matching","Friend","Friend","Close","1",593,0.593,1
"15422",45,"Friend","Matching","Friend","Friend","Close","1",567,0.567,1
"15423",45,"Friend","Matching","Friend","Friend","Close","1",550,0.55,0
"15424",45,"Friend","Matching","Friend","Friend","Close","1",730,0.73,1
"15425",45,"Friend","Matching","Friend","Friend","Close","1",508,0.508,1
"15426",45,"Friend","Matching","Friend","Friend","Close","1",663,0.663,0
"15427",45,"Friend","Matching","Friend","Friend","Close","1",505,0.505,1
"15428",45,"Friend","Matching","Friend","Friend","Close","1",452,0.452,1
"15429",45,"Friend","Matching","Friend","Friend","Close","1",482,0.482,1
"15430",45,"Friend","Matching","Friend","Friend","Close","1",545,0.545,1
"15431",45,"Friend","Matching","Friend","Friend","Close","1",482,0.482,1
"15432",45,"Friend","Matching","Friend","Friend","Close","1",589,0.589,1
"15433",45,"Friend","Matching","Friend","Friend","Close","1",674,0.674,1
"15434",45,"Friend","Matching","Friend","Friend","Close","1",712,0.712,1
"15435",45,"Friend","Matching","Friend","Friend","Close","1",0,0,0
"15436",45,"Friend","Matching","Friend","Friend","Close","1",592,0.592,1
"15437",45,"Friend","Matching","Friend","Friend","Close","1",600,0.6,1
"15438",45,"Friend","Matching","Friend","Friend","Close","1",690,0.69,1
"15439",45,"Friend","Matching","Friend","Friend","Close","1",0,0,0
"15440",45,"Friend","Matching","Friend","Friend","Close","1",727,0.727,1
"15441",45,"Friend","Matching","Friend","Friend","Close","1",618,0.618,1
"15442",45,"Friend","Matching","Friend","Friend","Close","1",645,0.645,1
"15443",45,"Friend","Matching","Friend","Friend","Close","1",617,0.617,1
"15444",45,"Friend","Matching","Friend","Friend","Close","1",777,0.777,1
"15445",45,"Friend","Matching","Friend","Friend","Close","1",0,0,0
"15446",45,"Friend","Matching","Friend","Friend","Close","1",684,0.684,1
"15447",45,"Friend","Matching","Friend","Friend","Close","1",1031,1.031,1
"15448",45,"Friend","Matching","Friend","Friend","Close","1",514,0.514,1
"15449",45,"Friend","Matching","Friend","Friend","Close","1",507,0.507,1
"15450",45,"Friend","Matching","Friend","Friend","Close","1",494,0.494,1
"15451",45,"Friend","Matching","Friend","Friend","Close","1",733,0.733,1
"15452",45,"Friend","Matching","Friend","Friend","Close","1",436,0.436,1
"15453",45,"Friend","Matching","Friend","Friend","Close","1",567,0.567,1
"15454",45,"Friend","Matching","Friend","Friend","Close","1",869,0.869,1
"15455",45,"Friend","Matching","Friend","Friend","Close","1",875,0.875,1
"15456",45,"Friend","Matching","Friend","Friend","Close","1",400,0.4,1
"15457",45,"Friend","Matching","Friend","Friend","Close","1",658,0.658,1
"15458",45,"Friend","Matching","Friend","Friend","Close","1",506,0.506,1
"15459",45,"Friend","Matching","Friend","Friend","Close","1",688,0.688,1
"15460",45,"Friend","Matching","Friend","Friend","Close","1",669,0.669,1
"15461",45,"Friend","Matching","Friend","Friend","Close","1",639,0.639,1
"15462",45,"Friend","Matching","Friend","Friend","Close","1",431,0.431,1
"15463",45,"Friend","Matching","Friend","Friend","Close","1",565,0.565,1
"15464",45,"Friend","Matching","Friend","Friend","Close","1",611,0.611,1
"15465",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15466",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15467",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15468",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15469",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15470",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15471",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15472",45,"Self","Matching","Self","Self","Self","1",NA,NA,NA
"15473",45,"Self","Matching","Self","Self","Self","1",431,0.431,1
"15474",45,"Self","Matching","Self","Self","Self","1",428,0.428,1
"15475",45,"Self","Matching","Self","Self","Self","1",517,0.517,1
"15476",45,"Self","Matching","Self","Self","Self","1",449,0.449,1
"15477",45,"Self","Matching","Self","Self","Self","1",583,0.583,1
"15478",45,"Self","Matching","Self","Self","Self","1",434,0.434,1
"15479",45,"Self","Matching","Self","Self","Self","1",736,0.736,1
"15480",45,"Self","Matching","Self","Self","Self","1",374,0.374,1
"15481",45,"Self","Matching","Self","Self","Self","1",394,0.394,1
"15482",45,"Self","Matching","Self","Self","Self","1",385,0.385,1
"15483",45,"Self","Matching","Self","Self","Self","1",561,0.561,0
"15484",45,"Self","Matching","Self","Self","Self","1",607,0.607,1
"15485",45,"Self","Matching","Self","Self","Self","1",727,0.727,1
"15486",45,"Self","Matching","Self","Self","Self","1",459,0.459,1
"15487",45,"Self","Matching","Self","Self","Self","1",441,0.441,1
"15488",45,"Self","Matching","Self","Self","Self","1",445,0.445,1
"15489",45,"Self","Matching","Self","Self","Self","1",625,0.625,1
"15490",45,"Self","Matching","Self","Self","Self","1",502,0.502,1
"15491",45,"Self","Matching","Self","Self","Self","1",503,0.503,1
"15492",45,"Self","Matching","Self","Self","Self","1",432,0.432,1
"15493",45,"Self","Matching","Self","Self","Self","1",411,0.411,1
"15494",45,"Self","Matching","Self","Self","Self","1",457,0.457,1
