"","Subject","Age","Gender","Ethnicity","Handedness","Group","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"163",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","47",467,0.467,0
"164",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",776,0.776,1
"165",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",826,0.826,1
"166",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",624,0.624,1
"167",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",686,0.686,1
"168",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",915,0.915,1
"169",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",1025,1.025,1
"170",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",1121,1.121,1
"171",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",940,0.94,1
"172",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",739,0.739,1
"173",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",579,0.579,1
"174",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",747,0.747,1
"175",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",660,0.66,1
"176",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",606,0.606,1
"177",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",666,0.666,1
"178",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",995,0.995,1
"179",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",662,0.662,1
"180",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","47",570,0.57,0
"181",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","47",588,0.588,0
"182",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",698,0.698,1
"183",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",1133,1.133,1
"184",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",909,0.909,1
"185",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",670,0.67,1
"186",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",616,0.616,1
"187",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",1102,1.102,1
"188",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",1060,1.06,1
"189",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",926,0.926,1
"190",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",702,0.702,1
"191",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",528,0.528,1
"192",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",773,0.773,1
"193",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",853,0.853,1
"194",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",630,0.63,1
"195",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",562,0.562,1
"196",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",554,0.554,1
"197",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",674,0.674,1
"198",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",683,0.683,1
"199",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",806,0.806,1
"200",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","47",819,0.819,0
"201",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",715,0.715,1
"202",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",795,0.795,1
"203",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",1078,1.078,1
"204",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",859,0.859,1
"205",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",659,0.659,1
"206",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",736,0.736,1
"207",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",614,0.614,1
"208",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",671,0.671,1
"209",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",681,0.681,1
"210",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","47",682,0.682,0
"211",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",639,0.639,1
"212",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",658,0.658,1
"213",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",1277,1.277,1
"214",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",1018,1.018,1
"215",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",619,0.619,1
"216",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",881,0.881,1
"217",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",683,0.683,1
"218",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",494,0.494,1
"219",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",790,0.79,1
"220",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",877,0.877,1
"221",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",1035,1.035,1
"222",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",609,0.609,1
"223",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",636,0.636,1
"224",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",1103,1.103,1
"225",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",758,0.758,1
"226",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",572,0.572,1
"227",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",844,0.844,1
"228",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",842,0.842,1
"229",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",914,0.914,1
"230",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",738,0.738,1
"231",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",601,0.601,1
"232",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",626,0.626,1
"233",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",784,0.784,1
"234",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",823,0.823,1
"235",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",803,0.803,1
"236",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",813,0.813,1
"237",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",1081,1.081,1
"238",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",865,0.865,1
"239",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",551,0.551,1
"240",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",918,0.918,1
"241",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",651,0.651,1
"242",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",1047,1.047,1
"243",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",696,0.696,1
"244",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",888,0.888,1
"245",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",562,0.562,1
"246",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",979,0.979,1
"247",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",630,0.63,1
"248",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",711,0.711,1
"249",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",625,0.625,1
"250",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",585,0.585,1
"251",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",613,0.613,1
"252",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",573,0.573,1
"253",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","48",648,0.648,1
"254",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",704,0.704,1
"255",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","47",528,0.528,0
"256",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","47",780,0.78,0
"257",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",724,0.724,1
"258",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",902,0.902,1
"259",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",1043,1.043,1
"260",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",754,0.754,1
"261",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",1072,1.072,1
"262",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",988,0.988,1
"263",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",1276,1.276,1
"264",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",768,0.768,1
"265",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",815,0.815,1
"266",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",604,0.604,1
