"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3001,1,"test",125,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,825
3001,1,"test",126,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,803
3001,1,"test",127,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,623
3001,1,"test",128,"m",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,1225
3001,1,"test",129,"z",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,514
3001,1,"test",130,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,1025
3001,1,"test",131,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,706
3001,1,"test",132,"z",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,1257
3001,1,"test",133,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,819
3001,1,"test",134,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,685
3001,1,"test",135,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,469
3001,1,"test",136,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,973
3001,1,"test",137,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,705
3001,1,"test",138,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,649
3001,1,"test",139,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,673
3001,1,"test",140,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,898
3001,1,"test",141,"z",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,874
3001,1,"test",142,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,586
3001,1,"test",143,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,702
3001,1,"test",144,"z",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,0,861
3001,1,"test",145,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,629
3001,1,"test",146,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,544
3001,1,"test",147,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,510
3001,1,"test",148,"z",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,375
3001,1,"test",149,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,613
3001,1,"test",150,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,584
3001,1,"test",151,"m",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,460
3001,1,"test",152,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,493
3001,1,"test",153,"z",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,0,544
3001,1,"test",154,"m",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,0,367
3001,1,"test",155,"z",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,1,483
3001,1,"test",156,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,477
3001,1,"test",157,"z",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,438
3001,1,"test",158,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,791
3001,1,"test",159,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,868
3001,1,"test",160,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,460
3001,1,"test",161,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,589
3001,1,"test",162,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,313
3001,1,"test",163,"z",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,362
3001,1,"test",164,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,584
3001,1,"test",165,"z",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,356
3001,1,"test",166,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,299
3001,1,"test",167,"z",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,356
3001,1,"test",168,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,722
3001,1,"test",169,"m",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,0,528
3001,1,"test",170,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,503
3001,1,"test",171,"z",5,"shape2.jpg",1,1,"You","Julia","none","Julia",2,0,575
3001,1,"test",172,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,804
3001,1,"test",173,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,671
3001,1,"test",174,"m",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,0,352
3001,1,"test",175,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,757
3001,1,"test",176,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,946
3001,1,"test",177,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,745
3001,1,"test",178,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,622
3001,1,"test",179,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,666
3001,1,"test",180,"z",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,1,426
3001,1,"test",181,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,1172
3001,1,"test",182,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,888
3001,1,"test",183,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,735
3001,1,"test",184,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,845
3001,1,"test",185,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,606
3001,1,"test",186,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,756
3001,1,"test",187,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,815
3001,1,"test",188,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,1442
3001,1,"test",189,"m",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,841
3001,1,"test",190,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,1444
3001,1,"test",191,"z",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,1,770
3001,1,"test",192,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,823
3001,1,"test",193,"m",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,0,793
3001,1,"test",194,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,692
3001,1,"test",195,"z",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,0,781
3001,1,"test",196,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,729
