subj_idx,person,match,stim,accuracy,response,rt
12,Stranger,match,1,1,1,0.614
12,Self,match,1,1,1,0.496
12,Stranger,mismatch,0,1,0,0.637
12,Friend,match,1,1,1,0.871
12,Stranger,match,1,1,1,0.74
12,Self,mismatch,0,1,0,0.714
12,Friend,mismatch,0,1,0,0.598
12,Self,match,1,1,1,0.678
12,Friend,mismatch,0,0,1,0.566
12,Stranger,mismatch,0,1,0,0.648
12,Stranger,mismatch,0,1,0,0.503
12,Stranger,match,1,1,1,0.684
12,Friend,match,1,1,1,0.642
12,Stranger,mismatch,0,1,0,0.513
12,Self,mismatch,0,1,0,0.619
12,Friend,mismatch,0,1,0,0.673
12,Self,match,1,1,1,0.629
12,Self,match,1,1,1,0.497
12,Self,mismatch,0,1,0,0.488
12,Stranger,match,1,1,1,0.587
12,Friend,mismatch,0,1,0,0.72
12,Friend,match,1,1,1,0.561
12,Self,match,1,1,1,0.66
12,Self,match,1,1,1,0.44
12,Stranger,match,1,0,0,0.647
12,Stranger,mismatch,0,1,0,0.778
12,Self,mismatch,0,1,0,0.654
12,Friend,match,1,1,1,0.862
12,Stranger,match,1,1,1,0.646
12,Stranger,mismatch,0,1,0,1.035
12,Friend,mismatch,0,1,0,0.842
12,Self,mismatch,0,1,0,0.463
12,Friend,match,1,1,1,0.341
12,Friend,mismatch,0,1,0,0.504
12,Stranger,mismatch,0,1,0,0.564
12,Self,mismatch,0,1,0,0.722
12,Friend,match,1,1,1,0.549
12,Self,mismatch,0,1,0,0.574
12,Self,match,1,1,1,0.635
12,Friend,match,1,1,1,1.027
12,Stranger,match,1,1,1,0.532
12,Stranger,mismatch,0,1,0,0.675
12,Friend,mismatch,0,0,1,0.754
12,Friend,mismatch,0,1,0,0.647
12,Self,match,1,1,1,0.471
12,Stranger,match,1,1,1,0.654
12,Friend,match,1,1,1,0.65
12,Friend,mismatch,0,1,0,0.714
12,Stranger,match,1,1,1,0.638
12,Stranger,mismatch,0,1,0,0.6
12,Self,mismatch,0,1,0,0.479
