ExperimentName,Subject,Session,Block,Age,Sex,Block,Friend,Self,Stranger,SubTrial,CorrectAnswer,Question,SelfRelated,Target,ACC,RT,YesNoResp
A,2801,2,Group2,20,female,1,S,C,T,47,n,Stranger,Stranger,T.bmp,1,993,Yes
A,2801,2,Group2,20,female,1,S,C,T,48,n,Friend,Friend,S.bmp,1,791,Yes
A,2801,2,Group2,20,female,1,S,C,T,49,n,Stranger,Stranger,T.bmp,1,933,Yes
A,2801,2,Group2,20,female,1,S,C,T,50,m,You,Friend,S.bmp,1,635,No
A,2801,2,Group2,20,female,1,S,C,T,51,n,You,Self,C.bmp,1,705,Yes
A,2801,2,Group2,20,female,1,S,C,T,52,n,Stranger,Stranger,T.bmp,1,863,Yes
A,2801,2,Group2,20,female,1,S,C,T,53,m,Stranger,Friend,S.bmp,1,901,No
A,2801,2,Group2,20,female,1,S,C,T,54,m,You,Stranger,T.bmp,1,763,No
A,2801,2,Group2,20,female,1,S,C,T,55,m,Stranger,Self,C.bmp,1,865,No
A,2801,2,Group2,20,female,1,S,C,T,56,n,Friend,Friend,S.bmp,1,703,Yes
A,2801,2,Group2,20,female,1,S,C,T,57,m,Friend,Self,C.bmp,1,669,No
A,2801,2,Group2,20,female,1,S,C,T,58,m,Friend,Stranger,T.bmp,1,835,No
A,2801,2,Group2,20,female,1,S,C,T,59,n,You,Self,C.bmp,1,553,Yes
A,2801,2,Group2,20,female,1,S,C,T,60,n,Friend,Friend,S.bmp,1,479,Yes
A,2801,2,Group2,20,female,1,S,C,T,1,n,You,Self,C.bmp,1,441,Yes
A,2801,2,Group2,20,female,1,S,C,T,2,m,Friend,Self,C.bmp,1,951,No
A,2801,2,Group2,20,female,1,S,C,T,3,n,Stranger,Stranger,T.bmp,1,781,Yes
A,2801,2,Group2,20,female,1,S,C,T,4,n,Friend,Friend,S.bmp,1,723,Yes
A,2801,2,Group2,20,female,1,S,C,T,5,n,Friend,Friend,S.bmp,1,648,Yes
A,2801,2,Group2,20,female,1,S,C,T,6,n,Stranger,Stranger,T.bmp,0,622,Yes
A,2801,2,Group2,20,female,1,S,C,T,7,m,Stranger,Self,C.bmp,1,828,No
A,2801,2,Group2,20,female,1,S,C,T,8,m,Friend,Stranger,T.bmp,1,1034,No
