SessionDate,Subject,Age,Handedness,MotherTongue,Sex,Procedure[SubTrial],LabelOrder,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Target.ACC,Target.CRESP,Target.RESP,Target.RT,Congruent,Incongruent,Stimulus,Word
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1134,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1001,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1770,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1179,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1636,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,2763,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2036,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,697,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1126,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1041,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,2545,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1250,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1433,m,z,triangle.bmp,Friend
