Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
563fa227074be600115e9642,20,2142.4,left,1,0,Stranger,m33,User,JA,0.828125
563fa227074be600115e9642,21,2058.5,left,1,0,Stranger,f27,User,NEIN,0.828125
563fa227074be600115e9642,22,947.8000001,right,0,1,Stranger,f4,User,NEIN,0.828125
563fa227074be600115e9642,23,1217.2,left,1,0,Me,m35,Other,NEIN,0.828125
563fa227074be600115e9642,24,2230.3,left,1,0,Me,m35,Other,NEIN,0.828125
563fa227074be600115e9642,25,1587.4,right,1,0,Me,f27,User,NEIN,0.828125
563fa227074be600115e9642,26,2917.2,right,1,0,Stranger,m34,Other,NEIN,0.828125
563fa227074be600115e9642,27,1599.2,left,1,0,Me,f18,Other,JA,0.828125
563fa227074be600115e9642,28,1311.5,right,1,0,Me,f27,User,JA,0.828125
563fa227074be600115e9642,29,3680,left,1,0,Me,m34,Other,NEIN,0.828125
563fa227074be600115e9642,30,1749.4,left,0,1,Stranger,f15,Other,NEIN,0.828125
563fa227074be600115e9642,31,1281.4,right,0,1,Me,f15,Other,NEIN,0.828125
563fa227074be600115e9642,32,1867.2,right,0,1,Me,f15,Other,JA,0.828125
563fa227074be600115e9642,33,3321.5,left,1,0,Stranger,m38,User,NEIN,0.828125
563fa227074be600115e9642,34,2602.8,right,1,0,Me,m38,User,JA,0.828125
563fa227074be600115e9642,35,2660.4,right,0,1,Me,f18,Other,JA,0.828125
563fa227074be600115e9642,36,7439.1,left,1,0,Stranger,m38,User,NEIN,0.828125
563fa227074be600115e9642,37,2548.7,right,1,0,Stranger,f18,Other,NEIN,0.828125
563fa227074be600115e9642,38,2353.8,left,0,1,Me,f4,User,JA,0.828125
563fa227074be600115e9642,39,2769.7,left,1,0,Stranger,f4,User,JA,0.828125
563fa227074be600115e9642,40,2039.9,right,1,0,Me,f27,User,JA,0.828125
563fa227074be600115e9642,41,1152,right,1,0,Stranger,m35,Other,JA,0.828125
563fa227074be600115e9642,42,1519.9,right,0,1,Stranger,f4,User,JA,0.828125
563fa227074be600115e9642,43,950.7,right,1,0,Stranger,m35,Other,NEIN,0.828125
563fa227074be600115e9642,44,1869.5,right,1,0,Stranger,f18,Other,NEIN,0.828125
563fa227074be600115e9642,45,914.6999999,left,1,0,Me,f18,Other,NEIN,0.828125
563fa227074be600115e9642,46,1804.7,left,1,0,Me,f18,Other,NEIN,0.828125
563fa227074be600115e9642,47,864.8000001,right,0,1,Stranger,f4,User,NEIN,0.828125
563fa227074be600115e9642,48,2792.1,left,0,1,Me,f4,User,NEIN,0.828125
563fa227074be600115e9642,49,1363.4,right,1,0,Me,m33,User,NEIN,0.828125
563fa227074be600115e9642,50,1214.6,right,1,0,Stranger,m34,Other,NEIN,0.828125
563fa227074be600115e9642,51,842.3000001,right,1,0,Stranger,m34,Other,JA,0.828125
563fa227074be600115e9642,52,604.6999999,right,1,0,Me,m33,User,JA,0.828125
563fa227074be600115e9642,53,1910.9,right,1,0,Me,f4,User,JA,0.828125
563fa227074be600115e9642,54,664.6999999,right,1,0,Me,f27,User,NEIN,0.828125
563fa227074be600115e9642,55,1666.6,left,1,0,Stranger,m33,User,NEIN,0.828125
563fa227074be600115e9642,56,2251.4,left,1,0,Me,m34,Other,JA,0.828125
563fa227074be600115e9642,57,2284.9,left,0,1,Stranger,f18,Other,JA,0.828125
563fa227074be600115e9642,58,1300.1,right,1,0,Me,m33,User,NEIN,0.828125
563fa227074be600115e9642,59,1007.6,left,1,0,Stranger,m38,User,JA,0.828125
563fa227074be600115e9642,60,2421.7,left,1,0,Me,m34,Other,NEIN,0.828125
563fa227074be600115e9642,61,1503.9,right,1,0,Me,f4,User,NEIN,0.828125
563fa227074be600115e9642,62,1659.6,left,1,0,Me,m35,Other,JA,0.828125
563fa227074be600115e9642,63,833.1,left,1,0,Me,m34,Other,JA,0.828125
563fa227074be600115e9642,64,640.6,right,1,0,Me,m38,User,JA,0.828125
5e0e40e0500f0658c9663bc0,1,3589.1,right,0,1,Stranger,m38,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,2,1182.8,right,1,0,Me,f27,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,3,2264.1,right,0,1,Me,m35,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,4,35.0999999,right,0,1,Stranger,m38,User,JA,0.640625
5e0e40e0500f0658c9663bc0,5,463,right,1,0,Me,m33,User,JA,0.640625
5e0e40e0500f0658c9663bc0,6,21262.9,left,1,0,Me,f15,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,7,1628.6,left,0,1,Me,m38,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,8,1164.2,right,1,0,Me,f27,User,JA,0.640625
5e0e40e0500f0658c9663bc0,9,517.6000001,left,1,0,Me,m34,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,10,574,left,0,1,Stranger,f15,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,11,2220.5,left,1,0,Me,m34,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,12,2661,right,0,1,Me,f18,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,13,762,left,1,0,Stranger,m33,User,JA,0.640625
5e0e40e0500f0658c9663bc0,14,689.9000001,left,1,0,Stranger,m33,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,15,1421.9,right,1,0,Stranger,f18,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,16,622.6999998,right,1,0,Me,m33,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,17,592.3,left,0,1,Stranger,m34,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,18,1692.5,left,1,0,Stranger,m38,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,19,694.1000001,left,1,0,Stranger,f27,User,JA,0.640625
5e0e40e0500f0658c9663bc0,20,655.8,left,1,0,Me,f18,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,21,800.3,left,0,1,Me,m38,User,JA,0.640625
5e0e40e0500f0658c9663bc0,22,563,right,0,1,Stranger,f27,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,23,3.400000095,left,0,1,Me,m38,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,24,877.3999999,right,0,1,Stranger,f4,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,25,1572.3,right,1,0,Me,m38,User,JA,0.640625
5e0e40e0500f0658c9663bc0,26,328.0999999,right,0,1,Stranger,f4,User,JA,0.640625
5e0e40e0500f0658c9663bc0,27,1198.4,right,1,0,Me,m33,User,JA,0.640625
5e0e40e0500f0658c9663bc0,28,834.5,left,1,0,Me,m35,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,29,2169.1,left,1,0,Me,f18,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,30,1257.4,left,1,0,Me,f18,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,31,415.1999998,right,0,1,Stranger,f4,User,JA,0.640625
5e0e40e0500f0658c9663bc0,32,1235.7,left,0,1,Stranger,m34,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,33,707.3000002,left,1,0,Me,f15,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,34,540.4000001,left,0,1,Stranger,m35,Other,NEIN,0.640625
