"","Subject","Trial","Matching","Face","Label","Response","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"193",4,1,"Matching","m33","Me","right","Me","Other","Stranger","Stranger",693,0.693,0
"194",4,2,"Matching","m38","Stranger","right","Stranger","Other","Stranger","Stranger",1754,1.754,1
"195",4,3,"Matching","m33","Me","right","Me","Other","Stranger","Stranger",282,0.282,0
"196",4,4,"Nonmatching","m38","Me","right","Me","Other","Stranger","Stranger",61,0.061,0
"197",4,5,"Matching","m38","Stranger","left","Stranger","Other","Stranger","Stranger",237,0.237,0
"198",4,6,"Nonmatching","f27","Stranger","left","Stranger","Other","Stranger","Stranger",2257,2.257,0
"199",4,7,"Nonmatching","f15","Stranger","right","Stranger","User","Self","Self",260,0.26,0
"200",4,8,"Matching","f18","Stranger","right","Stranger","User","Self","Self",269,0.269,0
"201",4,9,"Matching","f4","Stranger","left","Stranger","Other","Stranger","Stranger",368,0.368,0
"202",4,10,"Matching","m35","Me","right","Me","User","Self","Self",778,0.778,1
"203",4,11,"Matching","m35","Stranger","left","Stranger","User","Self","Self",352,0.352,1
"204",4,12,"Matching","f15","Me","right","Me","User","Self","Self",487,0.487,1
"205",4,13,"Matching","f15","Stranger","left","Stranger","User","Self","Self",348,0.348,1
"206",4,14,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",624,0.624,1
"207",4,15,"Matching","f18","Me","right","Me","User","Self","Self",569,0.569,1
"208",4,16,"Nonmatching","m35","Stranger","right","Stranger","User","Self","Self",624,0.624,0
"209",4,17,"Nonmatching","m35","Stranger","left","Stranger","User","Self","Self",503,0.503,1
"210",4,18,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",434,0.434,1
"211",4,19,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",852,0.852,1
"212",4,20,"Nonmatching","f4","Stranger","left","Stranger","Other","Stranger","Stranger",804,0.804,0
"213",4,21,"Nonmatching","m34","Me","left","Me","User","Self","Self",559,0.559,0
"214",4,22,"Nonmatching","f18","Stranger","right","Stranger","User","Self","Self",453,0.453,0
"215",4,23,"Nonmatching","f18","Stranger","left","Stranger","User","Self","Self",591,0.591,1
"216",4,24,"Matching","m34","Stranger","right","Stranger","User","Self","Self",676,0.676,0
"217",4,25,"Nonmatching","m34","Me","right","Me","User","Self","Self",546,0.546,1
"218",4,26,"Matching","f15","Me","right","Me","User","Self","Self",565,0.565,1
"219",4,27,"Matching","m34","Me","right","Me","User","Self","Self",500,0.5,1
"220",4,28,"Matching","m38","Me","right","Me","Other","Stranger","Stranger",416,0.416,0
"221",4,29,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",570,0.57,1
"222",4,30,"Nonmatching","m38","Stranger","right","Stranger","Other","Stranger","Stranger",1726,1.726,1
"223",4,31,"Matching","f4","Stranger","right","Stranger","Other","Stranger","Stranger",470,0.47,1
"224",4,32,"Matching","m34","Me","right","Me","User","Self","Self",1659,1.659,1
"225",4,33,"Matching","f27","Stranger","left","Stranger","Other","Stranger","Stranger",688,0.688,0
"226",4,34,"Nonmatching","m34","Stranger","right","Stranger","User","Self","Self",2756,2.756,0
"227",4,35,"Nonmatching","f15","Me","right","Me","User","Self","Self",436,0.436,1
"228",4,36,"Nonmatching","m34","Stranger","left","Stranger","User","Self","Self",767,0.767,1
"229",4,37,"Nonmatching","f4","Me","right","Me","Other","Stranger","Stranger",518,0.518,0
"230",4,38,"Nonmatching","f4","Stranger","right","Stranger","Other","Stranger","Stranger",625,0.625,1
"231",4,39,"Matching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",1842,1.842,1
"232",4,40,"Nonmatching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",403,0.403,1
"233",4,41,"Nonmatching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",384,0.384,1
"234",4,42,"Matching","f4","Me","right","Me","Other","Stranger","Stranger",1246,1.246,0
"235",4,43,"Matching","m34","Stranger","right","Stranger","User","Self","Self",707,0.707,0
"236",4,44,"Matching","m35","Stranger","right","Stranger","User","Self","Self",3772,3.772,0
"237",4,45,"Nonmatching","m38","Me","left","Me","Other","Stranger","Stranger",744,0.744,1
"238",4,46,"Nonmatching","f15","Stranger","left","Stranger","User","Self","Self",552,0.552,1
"239",4,47,"Matching","f15","Stranger","left","Stranger","User","Self","Self",1153,1.153,1
"240",4,48,"Nonmatching","m35","Me","right","Me","User","Self","Self",456,0.456,1
"241",4,49,"Nonmatching","f18","Me","right","Me","User","Self","Self",396,0.396,1
"242",4,50,"Nonmatching","m35","Me","right","Me","User","Self","Self",329,0.329,1
"243",4,51,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",474,0.474,1
"244",4,52,"Matching","m35","Me","right","Me","User","Self","Self",291,0.291,1
"245",4,53,"Matching","f18","Me","right","Me","User","Self","Self",370,0.37,1
"246",4,54,"Nonmatching","f15","Me","right","Me","User","Self","Self",454,0.454,1
"247",4,55,"Matching","f4","Me","right","Me","Other","Stranger","Stranger",496,0.496,0
"248",4,56,"Nonmatching","m38","Stranger","right","Stranger","Other","Stranger","Stranger",382,0.382,1
"249",4,57,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",426,0.426,1
"250",4,58,"Matching","f18","Stranger","left","Stranger","User","Self","Self",1008,1.008,1
"251",4,59,"Matching","m38","Me","left","Me","Other","Stranger","Stranger",347,0.347,1
"252",4,60,"Nonmatching","m33","Me","left","Me","Other","Stranger","Stranger",1189,1.189,1
"253",4,61,"Nonmatching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",666,0.666,1
"254",4,62,"Nonmatching","f4","Me","right","Me","Other","Stranger","Stranger",400,0.4,0
"255",4,63,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",898,0.898,1
"256",4,64,"Nonmatching","f18","Me","right","Me","User","Self","Self",435,0.435,1
"257",5,1,"Nonmatching","m33","Stranger","left","Stranger","Other","Stranger","Stranger",2148.8,2.1488,0
"258",5,2,"Nonmatching","m35","Me","right","Me","User","Self","Self",2531.6,2.5316,1
"259",5,3,"Nonmatching","m38","Me","right","Me","Other","Stranger","Stranger",1795.3,1.7953,0
"260",5,4,"Nonmatching","m34","Stranger","right","Stranger","User","Self","Self",447.6,0.4476,0
"261",5,5,"Nonmatching","f18","Me","left","Me","User","Self","Self",2803.6,2.8036,0
"262",5,6,"Nonmatching","f15","Me","right","Me","User","Self","Self",773,0.773,1
"263",5,7,"Matching","f27","Stranger","right","Stranger","Other","Stranger","Stranger",910.1,0.9101,1
"264",5,8,"Nonmatching","f18","Stranger","left","Stranger","User","Self","Self",1130.8,1.1308,1
"265",5,9,"Nonmatching","m34","Stranger","left","Stranger","User","Self","Self",1016.4,1.0164,1
"266",5,10,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",863.7,0.8637,1
"267",5,11,"Nonmatching","f15","Me","right","Me","User","Self","Self",616.6,0.6166,1
"268",5,12,"Matching","f4","Me","left","Me","Other","Stranger","Stranger",1288.6,1.2886,1
"269",5,13,"Nonmatching","f4","Me","right","Me","Other","Stranger","Stranger",973.5,0.9735,0
"270",5,14,"Matching","m33","Stranger","right","Stranger","Other","Stranger","Stranger",1494.3,1.4943,1
