SessionDate,Subject,Age,Handedness,MotherTongue,LabelOrder,Procedure[SubTrial],CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,BlockType,Target.RT,Target.ACC,Target.CRESP,Target.RESP,Congruent,Incongruent,Sex,Stimulus,Word
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,741,0,z,m,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1065,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1335,0,z,m,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1377,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1362,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1060,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,930,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,773,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1232,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1687,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,876,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,818,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,747,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,758,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,2096,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,772,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,638,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,910,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1138,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,637,0,z,m,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,948,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,759,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,914,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,662,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,1668,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,890,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,1087,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,652,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,764,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1190,0,z,m,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,743,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,738,0,z,m,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1316,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,792,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,2034,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,889,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,1982,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,903,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,668,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,907,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,895,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1572,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,605,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,2158,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,607,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,544,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,900,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,681,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,998,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,824,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,640,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,687,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,845,0,z,m,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1148,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1238,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1262,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,819,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,908,1,z,z,m,z,female,square.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,1008,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,944,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,739,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,702,0,m,z,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,1188,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1421,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,797,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,709,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1026,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,802,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,FBbreak1,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,,m,z,female,,
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,3457,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,813,1,m,m,m,z,female,circle.bmp,Stranger
