"Subject","Cohens_d_RT","deta_RT","Cohens_d_ACC","deta_ACC","Matching","Condition"
37,-0.369401404771322,-64.1145833333334,0.064023935347373,0.0208333333333334,"Matching","Self-Stranger"
37,0.000385857426989047,0.0729166666666288,0.0438440730033163,0.015625,"Nonmatching","Self-Stranger"
38,0.113050757327984,27.7074584857867,-0.0742456785585589,-0.0229102167182663,"Matching","Self-Stranger"
38,-0.0749201097116841,-17.9727197575089,-0.0401171344344333,-0.0101405345825296,"Nonmatching","Self-Stranger"
39,-0.570675253520117,-91.9308736910995,0.264441571033123,0.0419120855148342,"Matching","Self-Stranger"
39,-0.125750516343716,-20.7748691099476,0.0760248658871008,0.0157068062827226,"Nonmatching","Self-Stranger"
40,-0.956520668570866,-142.885416666667,0.145873116549649,0.0208333333333334,"Matching","Self-Stranger"
40,-0.00210405007413732,-0.401041666666742,0.0554534954688293,0.0104166666666666,"Nonmatching","Self-Stranger"
41,-0.613022192923391,-112.408376963351,0.423238356245029,0.109947643979058,"Matching","Self-Stranger"
41,0.0717741998864239,13.4816753926701,0.0203758957514391,0.00523560209424079,"Nonmatching","Self-Stranger"
42,-0.256322946427565,-53.2146596858639,-0.218043561878686,-0.0732984293193717,"Matching","Self-Stranger"
42,-0.132043487361542,-26.5773766877928,0.261556484413857,0.0885367869936622,"Nonmatching","Self-Stranger"
43,-0.444596937835004,-104.738011695906,0.373380963745326,0.115510999721526,"Matching","Self-Stranger"
43,0.0547686322098138,13.4338624338625,0.302920482693156,0.0687830687830688,"Nonmatching","Self-Stranger"
44,-0.418571602376087,-97.3423917560043,0.285743374560507,0.0798637081359594,"Matching","Self-Stranger"
44,-0.359245795341355,-79.7548735657791,-0.00542402989708469,-0.00167093683858754,"Nonmatching","Self-Stranger"
45,-0.1654640132296,-34.5858420593368,0.263564521543274,0.105502835951134,"Matching","Self-Stranger"
45,0.0794130059628442,14.2552083333333,-0.180062246304886,-0.078125,"Nonmatching","Self-Stranger"
46,-0.219495860429951,-63.1375661375662,0.511417579013676,0.235246235246235,"Matching","Self-Stranger"
46,-0.0628009110458673,-17.5872565302733,0.430366830446518,0.204952438471992,"Nonmatching","Self-Stranger"
47,-0.915934421284344,-139.346858638743,0.544681575541095,0.145778795811518,"Matching","Self-Stranger"
47,0.0316419689376685,5.32936507936506,0.114087984453162,0.0271990740740741,"Nonmatching","Self-Stranger"
48,0.00351669056783551,0.770833333333258,0.0520103442795559,0.0104166666666666,"Matching","Self-Stranger"
48,-0.249198896175774,-50.1145833333334,0.0691427815549,0.0171764184397164,"Nonmatching","Self-Stranger"
49,-0.0402301753694526,-10.3301476495194,0.0683447848439057,0.0200559572287321,"Matching","Self-Stranger"
49,0.300724148312168,64.4687534811184,-0.192960663772777,-0.043054472540938,"Nonmatching","Self-Stranger"
50,0.0286370139211907,10.1987522281639,-0.131775747965075,-0.047438330170778,"Matching","Self-Stranger"
50,-0.258441510440756,-78.9388437117077,0.36030401320602,0.169070959117745,"Nonmatching","Self-Stranger"
51,-0.881768026734528,-126.81211622807,0.37351082999825,0.0737390350877193,"Matching","Self-Stranger"
51,-0.0531004175725464,-8.91181282722516,0.112205862843412,0.0210787521815009,"Nonmatching","Self-Stranger"
52,0.0460609273368953,8.22867383512545,0.0389074754270511,0.0177419354838709,"Matching","Self-Stranger"
52,-0.231431745340476,-41.07801542777,-0.0567656058102068,-0.0279920523609163,"Nonmatching","Self-Stranger"
53,0.0795775666250539,9.47685696746473,-0.0501933946439721,-0.0251074278698588,"Matching","Self-Stranger"
53,0.0536112107336242,8.4089646464646,-0.0189055863981552,-0.00934343434343432,"Nonmatching","Self-Stranger"
54,-0.133837341207287,-18.1658486038394,0.199020620408136,0.0420211605584643,"Matching","Self-Stranger"
54,0.052289910847333,8.05208333333326,-0.0632001272033439,-0.015625,"Nonmatching","Self-Stranger"
55,-1.35295250087108,-232.610361842105,0.471404520791032,0.1,"Matching","Self-Stranger"
55,-0.128499535575705,-22.6599858202444,0.171738124655726,0.0259871291448517,"Nonmatching","Self-Stranger"
