"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,1,66,"StrangerTeam","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Top","num_3",783.576783,0.783576783,1
1,24,21,1,67,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",549.893149,0.549893149,0
1,24,21,1,68,"Person2","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",774.079211,0.774079211,1
1,24,21,1,69,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",950.232198,0.950232198,1
1,24,21,1,70,"StrangerTeam","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",716.944148,0.716944148,1
1,24,21,1,71,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","num_3",600.39132,0.60039132,0
1,24,21,1,72,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",700.207622,0.700207622,0
1,24,21,1,73,"Person1","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",733.716995,0.733716995,1
1,24,21,1,74,"StrangerTeam","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",733.577632,0.733577632,1
1,24,21,1,75,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","num_3",550.254781,0.550254781,0
1,24,21,1,76,"Stranger","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",750.241121,0.750241121,1
1,24,21,1,77,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",617.117186,0.617117186,1
1,24,21,1,78,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",752.543957,0.752543957,1
1,24,21,1,79,"Stranger","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",966.90911,0.96690911,1
1,24,21,1,80,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",833.624494,0.833624494,1
1,24,21,2,1,"StrangerTeam","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Top","num_3",1133.545575,1.133545575,1
1,24,21,2,2,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",767.135564,0.767135564,1
1,24,21,2,3,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",1116.934594,1.116934594,1
1,24,21,2,4,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",533.750394,0.533750394,1
1,24,21,2,5,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","num_3",700.392386,0.700392386,0
1,24,21,2,6,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",766.945668,0.766945668,1
1,24,21,2,7,"Person1","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",767.18215,0.76718215,1
