"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",757.5021111,0.7575021111,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",862.574918,0.862574918,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",644.075227,0.644075227,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",777.2942691,0.7772942691,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",877.3919139,0.8773919139,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",738.0346751,0.7380346751,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",764.731314,0.764731314,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",618.6189922,0.6186189922,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",824.8309868,0.8248309868,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",821.7255031,0.8217255031,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",804.8449659,0.8048449659,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",694.8327918,0.6948327918,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",682.211525,0.682211525,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",644.8529491,0.6448529491,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",521.6968351,0.5216968351,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",544.4991549,0.5444991549,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",627.7350669,0.6277350669,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",424.566068,0.424566068,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",852.5769028,0.8525769028,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",657.607106,0.657607106,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",702.6176711,0.7026176711,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",584.720135,0.584720135,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",612.5947831,0.6125947831,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",587.4384481,0.5874384481,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",562.5268398,0.5625268398,0
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",462.798401,0.462798401,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",641.6344279,0.6416344279,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",685.0857651,0.6850857651,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",704.365388,0.704365388,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",769.7562599,0.7697562599,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",792.492351,0.792492351,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",744.85348,0.74485348,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",690.0617389,0.6900617389,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",602.6084251,0.6026084251,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",845.1435182,0.8451435182,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",742.532935,0.742532935,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",834.590845,0.834590845,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",580.6213382,0.5806213382,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",648.7307949,0.6487307949,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",622.5498661,0.6225498661,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",785.397788,0.785397788,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",732.6449901,0.7326449901,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",909.156604,0.909156604,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",662.6875058,0.6626875058,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",709.987703,0.709987703,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",699.575061,0.699575061,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",624.6517422,0.6246517422,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",612.4840351,0.6124840351,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",944.8700389,0.9448700389,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",662.399858,0.662399858,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",644.500854,0.644500854,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",684.639608,0.684639608,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",634.8921391,0.6348921391,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",582.9993852,0.5829993852,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",684.5047001,0.6845047001,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",692.7832002,0.6927832002,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",690.825213,0.690825213,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",673.809455,0.673809455,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",682.3520761,0.6823520761,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",899.724683,0.899724683,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",712.7552819,0.7127552819,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",634.5151882,0.6345151882,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",608.75289,0.60875289,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",672.4137701,0.6724137701,1
