"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec"
"1781",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,432,0,0.432
"1782",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,611,1,0.611
"1783",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,493,1,0.493
"1784",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,368,0,0.368
"1785",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,875,1,0.875
"1786",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,487,1,0.487
"1787",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,663,1,0.663
"1788",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,669,1,0.669
"1789",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,559,1,0.559
"1790",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,515,1,0.515
"1791",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,522,1,0.522
"1792",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,524,1,0.524
"1793",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,609,0,0.609
"1794",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,577,1,0.577
"1795",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,715,0,0.715
"1796",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,644,0,0.644
"1797",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",NA,0,0,0
"1798",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",5,533,0,0.533
"1799",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,560,1,0.56
"1800",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,553,0,0.553
"1801",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,444,1,0.444
"1802",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,563,0,0.563
"1803",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,576,1,0.576
"1804",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,477,1,0.477
"1805",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,576,1,0.576
"1806",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,419,0,0.419
"1807",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,390,1,0.39
"1808",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,824,1,0.824
"1809",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,554,0,0.554
"1810",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,559,1,0.559
"1811",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,532,0,0.532
"1812",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,457,1,0.457
"1813",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,574,1,0.574
"1814",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,598,0,0.598
"1815",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,463,1,0.463
"1816",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,596,1,0.596
"1817",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,377,0,0.377
"1818",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,340,0,0.34
"1819",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,600,1,0.6
"1820",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,473,1,0.473
"1821",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,457,1,0.457
"1822",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,555,1,0.555
"1823",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,590,1,0.59
"1824",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,445,1,0.445
"1825",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,502,0,0.502
"1826",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,425,1,0.425
"1827",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,520,1,0.52
"1828",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,470,1,0.47
"1829",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,480,1,0.48
