Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
P2,0,1,1,1,n,15.77394914,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,0,2,2,0,v,2.547520471,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,0,11,22,21
P2,0,3,3,1,n,12.68102549,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,0,4,4,4,m,5.035542987,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,1,0,5,0,c,3.21371391,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,1,1,6,2,v,2.329182723,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,1,2,7,0,c,2.727970545,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,1,3,8,2,v,5.445188852,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,1,4,9,4,m,3.191501962,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,2,0,10,1,n,2.595762825,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,2,1,11,1,n,4.087290724,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,2,2,12,3,b,4.559433801,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,2,3,13,0,c,2.837059473,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,2,4,14,4,m,4.623312005,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,3,0,15,3,b,2.658222531,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,3,1,16,3,b,2.675666147,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,3,2,17,2,v,2.918416036,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,3,3,18,2,v,2.013256422,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,3,4,19,1,n,2.792750066,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,4,0,20,3,b,3.637034285,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,4,1,21,3,b,2.23896578,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,4,2,22,1,m,2.159408692,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,0,11,22,21
Other,4,3,23,4,m,5.908897137,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,4,4,24,1,n,3.972619397,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,5,0,25,2,v,2.657617705,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
