"","Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","VisualAngle","Color","Contrast"
"196",2,"female",27,"im",472,0.472,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"197",2,"female",27,"im",528,0.528,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"198",2,"female",27,"im",518,0.518,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"199",2,"female",27,"in",847,0.847,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"200",2,"female",27,"in",659,0.659,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"201",2,"female",27,"in",544,0.544,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"202",2,"female",27,"in",667,0.667,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"203",2,"female",27,"in",726,0.726,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"204",2,"female",27,"in",528,0.528,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"205",2,"female",27,"in",571,0.571,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"206",2,"female",27,"in",764,0.764,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"207",2,"female",27,"in",589,0.589,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"208",2,"female",27,"in",662,0.662,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"209",2,"female",27,"in",559,0.559,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"210",2,"female",27,"in",581,0.581,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
