Subject,Cohens_d_RT,deta_RT,Cohens_d_ACC,deta_ACC,Condition
17,-0.003963144,-2.333333333,0.123960367,0.0625,Self-Mother
18,-0.333398646,-82.79166667,-0.117024095,-0.041666667,Self-Mother
19,-0.43324248,-160.6458333,0.515302555,0.166666667,Self-Mother
20,-0.066918929,-15.375,0.204124145,0.020833333,Self-Mother
21,0.006196839,1.458333333,0.170964487,0.041666667,Self-Mother
22,0.159930913,73.04166667,0,0,Self-Mother
23,-0.001575587,-0.3125,0,0,Self-Mother
24,0.118980883,42.0625,0.22266131,0.083333333,Self-Mother
25,-0.431473738,-262.625,0.301803365,0.083333333,Self-Mother
26,-0.062384415,-27.95833333,0.413662308,0.125,Self-Mother
27,-0.094830976,-25.72916667,0.239604723,0.0625,Self-Mother
28,-0.686244777,-81.6875,-0.281133197,-0.0625,Self-Mother
29,-0.164291609,-76.10416667,0,0,Self-Mother
30,-0.142231034,-28.39583333,0.239604723,0.0625,Self-Mother
31,-0.449462503,-78.64583333,0.118695952,0.020833333,Self-Mother
32,-0.068606189,-60.6875,0.084387275,0.041666667,Self-Mother
33,-0.223327901,-39.5625,0.124916971,0.041666667,Self-Mother
34,-0.525430696,-135.1458333,0,0,Self-Mother
36,-0.205175505,-61.14583333,-0.079352957,-0.020833333,Self-Mother
1,NA,NA,NA,NA,Self-Acquaintance
2,NA,NA,NA,NA,Self-Acquaintance
3,NA,NA,NA,NA,Self-Acquaintance
5,NA,NA,NA,NA,Self-Acquaintance
6,NA,NA,NA,NA,Self-Acquaintance
7,NA,NA,NA,NA,Self-Acquaintance
8,NA,NA,NA,NA,Self-Acquaintance
9,NA,NA,NA,NA,Self-Acquaintance
10,NA,NA,NA,NA,Self-Acquaintance
11,NA,NA,NA,NA,Self-Acquaintance
12,NA,NA,NA,NA,Self-Acquaintance
13,NA,NA,NA,NA,Self-Acquaintance
14,NA,NA,NA,NA,Self-Acquaintance
15,NA,NA,NA,NA,Self-Acquaintance
16,NA,NA,NA,NA,Self-Acquaintance
17,NA,NA,NA,NA,Self-Acquaintance
18,NA,NA,NA,NA,Self-Acquaintance
19,NA,NA,NA,NA,Self-Acquaintance
