"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
48742438,21,"Mujer","Diestro",4,152,"circulo","tu","Matching","Self","Self","Self","Self",5,478,0.478,1
48742438,21,"Mujer","Diestro",4,153,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,433,0.433,1
48742438,21,"Mujer","Diestro",4,154,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",5,424,0.424,0
48742438,21,"Mujer","Diestro",4,155,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,475,0.475,1
48742438,21,"Mujer","Diestro",4,156,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",NA,0,0,0
48742438,21,"Mujer","Diestro",4,157,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",5,525,0.525,0
48742438,21,"Mujer","Diestro",4,158,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,404,0.404,1
48742438,21,"Mujer","Diestro",4,159,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,814,0.814,1
48742438,21,"Mujer","Diestro",4,160,"circulo","tu","Matching","Self","Self","Self","Self",5,387,0.387,1
48742438,21,"Mujer","Diestro",4,161,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,703,0.703,1
48742438,21,"Mujer","Diestro",4,162,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,451,0.451,1
48742438,21,"Mujer","Diestro",4,163,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,766,0.766,0
48742438,21,"Mujer","Diestro",4,164,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,407,0.407,1
48742438,21,"Mujer","Diestro",4,165,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",1,559,0.559,0
48742438,21,"Mujer","Diestro",4,166,"circulo","tu","Matching","Self","Self","Self","Self",5,193,0.193,1
48742438,21,"Mujer","Diestro",4,167,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,657,0.657,1
48742438,21,"Mujer","Diestro",4,168,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,994,0.994,1
48742438,21,"Mujer","Diestro",4,169,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,307,0.307,1
48742438,21,"Mujer","Diestro",4,170,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,513,0.513,1
48742438,21,"Mujer","Diestro",4,171,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",5,571,0.571,0
48742438,21,"Mujer","Diestro",4,172,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,442,0.442,1
48742438,21,"Mujer","Diestro",4,173,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,462,0.462,1
48742438,21,"Mujer","Diestro",4,174,"circulo","tu","Matching","Self","Self","Self","Self",5,413,0.413,1
48742438,21,"Mujer","Diestro",4,175,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,539,0.539,1
48742438,21,"Mujer","Diestro",4,176,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,625,0.625,1
48742438,21,"Mujer","Diestro",4,177,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,406,0.406,1
48742438,21,"Mujer","Diestro",4,178,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,465,0.465,1
48742438,21,"Mujer","Diestro",4,179,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,605,0.605,1
48742438,21,"Mujer","Diestro",4,180,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",NA,0,0,0
48742438,21,"Mujer","Diestro",4,181,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,459,0.459,1
48742438,21,"Mujer","Diestro",4,182,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",5,386,0.386,0
48742438,21,"Mujer","Diestro",4,183,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,1014,1.014,1
48742438,21,"Mujer","Diestro",4,184,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,481,0.481,1
48742438,21,"Mujer","Diestro",4,185,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,581,0.581,1
48742438,21,"Mujer","Diestro",4,186,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,519,0.519,1
48742438,21,"Mujer","Diestro",4,187,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,435,0.435,1
48742438,21,"Mujer","Diestro",4,188,"circulo","tu","Matching","Self","Self","Self","Self",5,514,0.514,1
48742438,21,"Mujer","Diestro",4,189,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,440,0.44,1
48742438,21,"Mujer","Diestro",4,190,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,796,0.796,1
48742438,21,"Mujer","Diestro",4,191,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,754,0.754,1
48742438,21,"Mujer","Diestro",4,192,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,810,0.81,1
48742438,21,"Mujer","Diestro",5,193,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,516,0.516,1
48742438,21,"Mujer","Diestro",5,194,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,678,0.678,1
48742438,21,"Mujer","Diestro",5,195,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,527,0.527,1
48742438,21,"Mujer","Diestro",5,196,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,363,0.363,1
48742438,21,"Mujer","Diestro",5,197,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,543,0.543,1
48742438,21,"Mujer","Diestro",5,198,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,449,0.449,1
48742438,21,"Mujer","Diestro",5,199,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,401,0.401,1
48742438,21,"Mujer","Diestro",5,200,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,1070,1.07,1
48742438,21,"Mujer","Diestro",5,201,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,707,0.707,1
48742438,21,"Mujer","Diestro",5,202,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",5,398,0.398,0
48742438,21,"Mujer","Diestro",5,203,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,460,0.46,1
48742438,21,"Mujer","Diestro",5,204,"circulo","tu","Matching","Self","Self","Self","Self",5,377,0.377,1
48742438,21,"Mujer","Diestro",5,205,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,560,0.56,1
48742438,21,"Mujer","Diestro",5,206,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,464,0.464,1
48742438,21,"Mujer","Diestro",5,207,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,869,0.869,1
48742438,21,"Mujer","Diestro",5,208,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,445,0.445,1
48742438,21,"Mujer","Diestro",5,209,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,251,0.251,1
