"","Subject","Shape","Label","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"212",1,"Stranger","Stranger","Matching","Stranger","2",750,0.75,1,1
"213",1,"Stranger","Stranger","Matching","Stranger","2",967,0.967,1,1
"214",1,"Stranger","Stranger","Matching","Stranger","2",833,0.833,1,1
"215",1,"Stranger","Stranger","Matching","Stranger","2",650,0.65,1,1
"216",1,"Stranger","Stranger","Matching","Stranger","2",717,0.717,1,1
"217",1,"Stranger","Stranger","Matching","Stranger","2",567,0.567,1,1
"218",1,"Stranger","Stranger","Matching","Stranger","2",617,0.617,1,1
"219",1,"Stranger","Stranger","Matching","Stranger","2",683,0.683,1,1
"220",1,"Stranger","Stranger","Matching","Stranger","2",700,0.7,1,1
"221",1,"Stranger","Stranger","Matching","Stranger","2",467,0.467,1,2
"222",1,"Stranger","Stranger","Matching","Stranger","2",751,0.751,1,2
"223",1,"Stranger","Stranger","Matching","Stranger","2",584,0.584,1,2
"224",1,"Stranger","Stranger","Matching","Stranger","2",550,0.55,1,2
"225",1,"Stranger","Stranger","Matching","Stranger","2",1117,1.117,1,2
"226",1,"Stranger","Stranger","Matching","Stranger","2",550,0.55,1,2
"227",1,"Stranger","Stranger","Matching","Stranger","2",767,0.767,1,2
"228",1,"Stranger","Stranger","Matching","Stranger","2",717,0.717,1,2
"229",1,"Stranger","Stranger","Matching","Stranger","2",800,0.8,1,2
"230",1,"Stranger","Stranger","Matching","Stranger","2",800,0.8,1,2
"231",1,"Stranger","Stranger","Matching","Stranger","2",883,0.883,1,2
"232",1,"Stranger","Stranger","Matching","Stranger","2",1017,1.017,1,2
"233",1,"Stranger","Stranger","Matching","Stranger","2",1283,1.283,1,2
"234",1,"Stranger","Stranger","Matching","Stranger","2",817,0.817,1,2
"235",1,"Stranger","Stranger","Matching","Stranger","2",884,0.884,1,2
"236",1,"Stranger","Stranger","Matching","Stranger","2",867,0.867,1,2
"237",1,"Stranger","Stranger","Matching","Stranger","2",717,0.717,1,2
"238",1,"Stranger","Stranger","Matching","Stranger","2",734,0.734,1,2
"239",1,"Stranger","Stranger","Matching","Stranger","2",733,0.733,1,2
"240",1,"Stranger","Stranger","Matching","Stranger","2",667,0.667,1,2
"241",1,"P1","P2","Nonmatching","Self","1",933,0.933,1,1
"242",1,"P1","Stranger","Nonmatching","Self","1",1050,1.05,1,1
"243",1,"P1","P2","Nonmatching","Self","1",683,0.683,1,1
"244",1,"P1","P2","Nonmatching","Self","1",634,0.634,1,1
"245",1,"P1","Stranger","Nonmatching","Self","1",834,0.834,1,1
"246",1,"P1","Stranger","Nonmatching","Self","1",1067,1.067,1,1
"247",1,"P1","Stranger","Nonmatching","Self","1",634,0.634,1,1
"248",1,"P1","P2","Nonmatching","Self","1",783,0.783,1,1
"249",1,"P1","P2","Nonmatching","Self","1",1150,1.15,1,1
"250",1,"P1","Stranger","Nonmatching","Self","1",833,0.833,1,1
"251",1,"P1","P2","Nonmatching","Self","1",700,0.7,1,1
"252",1,"P1","Stranger","Nonmatching","Self","1",1050,1.05,1,1
"253",1,"P1","Stranger","Nonmatching","Self","1",850,0.85,1,1
"254",1,"P1","P2","Nonmatching","Self","1",1133,1.133,1,1
"255",1,"P1","P2","Nonmatching","Self","1",833,0.833,1,1
"256",1,"P1","Stranger","Nonmatching","Self","1",1067,1.067,1,1
"257",1,"P1","P2","Nonmatching","Self","1",1367,1.367,1,1
"258",1,"P1","P2","Nonmatching","Self","1",983,0.983,1,1
"259",1,"P1","Stranger","Nonmatching","Self","1",734,0.734,1,1
"260",1,"P1","P2","Nonmatching","Self","1",867,0.867,1,2
"261",1,"P1","P2","Nonmatching","Self","1",917,0.917,1,2
"262",1,"P1","Stranger","Nonmatching","Self","1",1000,1,1,2
"263",1,"P1","Stranger","Nonmatching","Self","1",867,0.867,1,2
"264",1,"P1","Stranger","Nonmatching","Self","1",1083,1.083,1,2
"265",1,"P1","Stranger","Nonmatching","Self","1",1017,1.017,1,2
"266",1,"P1","P2","Nonmatching","Self","1",850,0.85,1,2
"267",1,"P1","Stranger","Nonmatching","Self","1",1150,1.15,1,2
"268",1,"P1","P2","Nonmatching","Self","1",900,0.9,1,2
"269",1,"P1","P2","Nonmatching","Self","1",1050,1.05,1,2
"270",1,"P1","Stranger","Nonmatching","Self","1",967,0.967,1,2
"271",1,"P1","Stranger","Nonmatching","Self","1",967,0.967,1,2
"272",1,"P1","P2","Nonmatching","Self","1",767,0.767,1,2
"273",1,"P1","P2","Nonmatching","Self","1",1050,1.05,1,2
"274",1,"P1","Stranger","Nonmatching","Self","1",1300,1.3,1,2
"275",1,"P1","P2","Nonmatching","Self","1",833,0.833,1,2
"276",1,"P1","P2","Nonmatching","Self","1",884,0.884,1,2
"277",1,"P1","P2","Nonmatching","Self","1",1117,1.117,1,2
"278",1,"P1","Stranger","Nonmatching","Self","1",1234,1.234,1,2
"279",1,"P1","Stranger","Nonmatching","Self","1",717,0.717,1,2
"280",1,"P1","P2","Nonmatching","Self","2",783,0.783,1,1
"281",1,"P1","P2","Nonmatching","Self","2",967,0.967,1,1
"282",1,"P1","P2","Nonmatching","Self","2",683,0.683,1,1
"283",1,"P1","Stranger","Nonmatching","Self","2",1383,1.383,1,1
"284",1,"P1","Stranger","Nonmatching","Self","2",1384,1.384,1,1
"285",1,"P1","P2","Nonmatching","Self","2",867,0.867,1,1
"286",1,"P1","P2","Nonmatching","Self","2",1100,1.1,1,1
"287",1,"P1","Stranger","Nonmatching","Self","2",767,0.767,1,1
"288",1,"P1","Stranger","Nonmatching","Self","2",917,0.917,1,1
"289",1,"P1","Stranger","Nonmatching","Self","2",1267,1.267,1,1
"290",1,"P1","P2","Nonmatching","Self","2",967,0.967,1,1
"291",1,"P1","P2","Nonmatching","Self","2",833,0.833,1,1
"292",1,"P1","Stranger","Nonmatching","Self","2",833,0.833,1,1
"293",1,"P1","P2","Nonmatching","Self","2",800,0.8,1,1
"294",1,"P1","Stranger","Nonmatching","Self","2",984,0.984,1,1
