"Subject","Gender","Age","Handedness","First_Lanugage","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1083,1.083,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",920,0.92,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",685,0.685,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",986,0.986,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1004,1.004,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",733,0.733,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",888,0.888,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1774,1.774,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",895,0.895,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1779,1.779,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1172,1.172,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1022,1.022,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",878,0.878,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",819,0.819,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1003,1.003,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",764,0.764,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",950,0.95,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1401,1.401,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",825,0.825,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",785,0.785,0
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1234,1.234,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1001,1.001,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",858,0.858,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",944,0.944,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1187,1.187,1
