"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Word","Matching","Identity","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","Color","VisualAngle","Contrast"
"7369",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7370",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7371",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7372",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7373",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7374",8507,"female",20,"right","Hebrew","","","Matching",NA,"",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7375",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7376",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7377",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",7920,7.92,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7378",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",4676,4.676,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7379",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","m",4431,4.431,0,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7380",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1302,1.302,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7381",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",966,0.966,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7382",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1026,1.026,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7383",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1889,1.889,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7384",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",2290,2.29,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7385",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1118,1.118,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7386",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1079,1.079,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7387",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1009,1.009,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7388",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",2819,2.819,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7389",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",2198,2.198,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7390",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",2001,2.001,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7391",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",777,0.777,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7392",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",856,0.856,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7393",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",991,0.991,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7394",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1424,1.424,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7395",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1311,1.311,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7396",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",885,0.885,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7397",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",735,0.735,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7398",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1477,1.477,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7399",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",890,0.89,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7400",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1102,1.102,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7401",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",858,0.858,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7402",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1390,1.39,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7403",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",997,0.997,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7404",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1026,1.026,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7405",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1907,1.907,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
