"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"2076",6505,"Nonmatching","Stranger",970,0.97,1
"2077",6505,"Nonmatching","Stranger",892,0.892,1
"2078",6505,"Nonmatching","Stranger",1091,1.091,1
"2079",6505,"Nonmatching","Stranger",854,0.854,1
"2080",6505,"Nonmatching","Stranger",848,0.848,1
"2081",6505,"Nonmatching","Stranger",1232,1.232,1
"2082",6505,"Nonmatching","Stranger",1183,1.183,1
"2083",6505,"Nonmatching","Stranger",1214,1.214,1
"2084",6505,"Nonmatching","Stranger",816,0.816,1
"2085",6505,"Nonmatching","Stranger",1350,1.35,1
"2086",6505,"Nonmatching","Stranger",985,0.985,1
"2087",6505,"Nonmatching","Stranger",899,0.899,1
"2088",6505,"Nonmatching","Stranger",1137,1.137,1
"2089",6505,"Nonmatching","Stranger",832,0.832,1
"2090",6602,"Matching","Self",1384,1.384,1
"2091",6602,"Matching","Self",1297,1.297,1
"2092",6602,"Matching","Self",1331,1.331,1
"2093",6602,"Matching","Self",1237,1.237,1
"2094",6602,"Matching","Self",1242,1.242,1
"2095",6602,"Matching","Self",700,0.7,1
"2096",6602,"Matching","Self",915,0.915,1
"2097",6602,"Matching","Self",1164,1.164,1
"2098",6602,"Matching","Self",558,0.558,1
"2099",6602,"Matching","Self",1423,1.423,1
"2100",6602,"Matching","Self",1007,1.007,1
"2101",6602,"Matching","Self",1296,1.296,1
"2102",6602,"Matching","Self",728,0.728,1
"2103",6602,"Matching","Self",1008,1.008,1
"2104",6602,"Matching","Self",1168,1.168,1
"2105",6602,"Matching","Self",764,0.764,1
"2106",6602,"Matching","Self",1159,1.159,1
"2107",6602,"Matching","Self",649,0.649,1
"2108",6602,"Matching","Self",710,0.71,1
"2109",6602,"Matching","Self",676,0.676,1
"2110",6602,"Matching","Self",1287,1.287,1
"2111",6602,"Matching","Self",726,0.726,1
"2112",6602,"Matching","Self",707,0.707,1
"2113",6602,"Matching","Self",1066,1.066,1
"2114",6602,"Matching","Self",1411,1.411,1
"2115",6602,"Matching","Self",896,0.896,1
"2116",6602,"Matching","Self",1345,1.345,1
"2117",6602,"Matching","Self",960,0.96,1
"2118",6602,"Matching","Self",934,0.934,1
"2119",6602,"Matching","Self",735,0.735,1
"2120",6602,"Matching","Self",1456,1.456,1
"2121",6602,"Matching","Self",872,0.872,1
"2122",6602,"Matching","Self",1120,1.12,1
"2123",6602,"Matching","Self",886,0.886,1
"2124",6602,"Matching","Self",1282,1.282,1
"2125",6602,"Matching","Self",855,0.855,1
"2126",6602,"Matching","Self",894,0.894,1
"2127",6602,"Matching","Self",685,0.685,1
"2128",6602,"Matching","Self",926,0.926,1
"2129",6602,"Matching","Self",927,0.927,1
"2130",6602,"Matching","Self",1075,1.075,1
"2131",6602,"Matching","Self",759,0.759,1
"2132",6602,"Matching","Self",1426,1.426,1
"2133",6602,"Matching","Self",1023,1.023,0
"2134",6602,"Matching","Self",821,0.821,1
"2135",6602,"Matching","Self",841,0.841,1
"2136",6602,"Matching","Self",1376,1.376,1
"2137",6602,"Matching","Self",875,0.875,1
"2138",6602,"Matching","Friend",1382,1.382,1
"2139",6602,"Matching","Friend",962,0.962,1
"2140",6602,"Matching","Friend",789,0.789,1
"2141",6602,"Matching","Friend",1184,1.184,1
"2142",6602,"Matching","Friend",1370,1.37,1
"2143",6602,"Matching","Friend",924,0.924,1
"2144",6602,"Matching","Friend",1040,1.04,1
"2145",6602,"Matching","Friend",836,0.836,1
"2146",6602,"Matching","Friend",683,0.683,1
"2147",6602,"Matching","Friend",993,0.993,1
"2148",6602,"Matching","Friend",1241,1.241,1
"2149",6602,"Matching","Friend",1200,1.2,1
"2150",6602,"Matching","Friend",1141,1.141,1
"2151",6602,"Matching","Friend",606,0.606,1
"2152",6602,"Matching","Friend",1075,1.075,1
"2153",6602,"Matching","Friend",813,0.813,1
"2154",6602,"Matching","Friend",1159,1.159,1
"2155",6602,"Matching","Friend",966,0.966,1
"2156",6602,"Matching","Friend",1042,1.042,1
"2157",6602,"Matching","Friend",993,0.993,1
"2158",6602,"Matching","Friend",880,0.88,1
"2159",6602,"Matching","Friend",1252,1.252,1
"2160",6602,"Matching","Friend",777,0.777,1
"2161",6602,"Matching","Friend",1287,1.287,1
"2162",6602,"Matching","Friend",788,0.788,1
"2163",6602,"Matching","Friend",730,0.73,1
"2164",6602,"Matching","Friend",673,0.673,1
"2165",6602,"Matching","Friend",736,0.736,1
"2166",6602,"Matching","Friend",1022,1.022,1
"2167",6602,"Matching","Friend",1064,1.064,1
"2168",6602,"Matching","Friend",1288,1.288,1
"2169",6602,"Matching","Friend",1298,1.298,1
"2170",6602,"Matching","Friend",1117,1.117,1
"2171",6602,"Matching","Friend",811,0.811,1
"2172",6602,"Matching","Friend",1184,1.184,1
"2173",6602,"Matching","Friend",819,0.819,1
"2174",6602,"Matching","Friend",1217,1.217,1
"2175",6602,"Matching","Friend",1111,1.111,1
"2176",6602,"Matching","Stranger",1499,1.499,1
"2177",6602,"Matching","Stranger",1213,1.213,1
"2178",6602,"Matching","Stranger",1442,1.442,1
"2179",6602,"Matching","Stranger",1086,1.086,1
"2180",6602,"Matching","Stranger",1018,1.018,1
"2181",6602,"Matching","Stranger",1112,1.112,1
"2182",6602,"Matching","Stranger",1290,1.29,1
"2183",6602,"Matching","Stranger",1115,1.115,1
"2184",6602,"Matching","Stranger",833,0.833,1
"2185",6602,"Matching","Stranger",1454,1.454,1
"2186",6602,"Matching","Stranger",1296,1.296,1
"2187",6602,"Matching","Stranger",1005,1.005,1
"2188",6602,"Matching","Stranger",1013,1.013,1
"2189",6602,"Matching","Stranger",1042,1.042,1
