"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","Color","VisualAngle","Contrast"
"115",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",921,0.921,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"116",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1208,1.208,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"117",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",899,0.899,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"118",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",667,0.667,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"119",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",668,0.668,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"120",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",967,0.967,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"121",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",790,0.79,0,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"122",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",623,0.623,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"123",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",1048,1.048,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"124",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",801,0.801,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"125",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",533,0.533,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"126",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",1058,1.058,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"127",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",1175,1.175,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"128",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",819,0.819,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"129",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",566,0.566,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"130",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",618,0.618,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"131",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",712,0.712,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"132",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",675,0.675,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"133",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",868,0.868,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"134",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",693,0.693,0,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"135",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",922,0.922,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"136",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",809,0.809,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"137",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",1363,1.363,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"138",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",865,0.865,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"139",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","m",878,0.878,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"140",1,"female",25,"right","Hebrew","triangle.bmp","Self","Nonmatching","z",526,0.526,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
