"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Shape1","Shape2","Identity1","Identity2","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"92",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",925,0.925,1,"15.6-in",NA,NA,"white","black","50cm",NA
"93",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",777,0.777,1,"15.6-in",NA,NA,"white","black","50cm",NA
"94",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",2166,2.166,1,"15.6-in",NA,NA,"white","black","50cm",NA
"95",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1279,1.279,1,"15.6-in",NA,NA,"white","black","50cm",NA
"96",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",836,0.836,1,"15.6-in",NA,NA,"white","black","50cm",NA
"97",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",753,0.753,1,"15.6-in",NA,NA,"white","black","50cm",NA
"98",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",789,0.789,1,"15.6-in",NA,NA,"white","black","50cm",NA
"99",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",692,0.692,1,"15.6-in",NA,NA,"white","black","50cm",NA
"100",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",577,0.577,1,"15.6-in",NA,NA,"white","black","50cm",NA
"101",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",778,0.778,1,"15.6-in",NA,NA,"white","black","50cm",NA
"102",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",709,0.709,1,"15.6-in",NA,NA,"white","black","50cm",NA
"103",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",628,0.628,1,"15.6-in",NA,NA,"white","black","50cm",NA
"104",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","d",425,0.425,0,"15.6-in",NA,NA,"white","black","50cm",NA
"105",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",874,0.874,1,"15.6-in",NA,NA,"white","black","50cm",NA
"106",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",2005,2.005,1,"15.6-in",NA,NA,"white","black","50cm",NA
"107",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",662,0.662,1,"15.6-in",NA,NA,"white","black","50cm",NA
"108",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",877,0.877,1,"15.6-in",NA,NA,"white","black","50cm",NA
"109",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",653,0.653,1,"15.6-in",NA,NA,"white","black","50cm",NA
"110",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","d",658,0.658,0,"15.6-in",NA,NA,"white","black","50cm",NA
"111",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",741,0.741,1,"15.6-in",NA,NA,"white","black","50cm",NA
"112",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",773,0.773,1,"15.6-in",NA,NA,"white","black","50cm",NA
"113",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",731,0.731,1,"15.6-in",NA,NA,"white","black","50cm",NA
"114",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",626,0.626,1,"15.6-in",NA,NA,"white","black","50cm",NA
"115",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1156,1.156,1,"15.6-in",NA,NA,"white","black","50cm",NA
"116",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",795,0.795,1,"15.6-in",NA,NA,"white","black","50cm",NA
"117",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",571,0.571,1,"15.6-in",NA,NA,"white","black","50cm",NA
"118",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",711,0.711,1,"15.6-in",NA,NA,"white","black","50cm",NA
"119",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",763,0.763,1,"15.6-in",NA,NA,"white","black","50cm",NA
"120",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",1106,1.106,1,"15.6-in",NA,NA,"white","black","50cm",NA
"121",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",605,0.605,1,"15.6-in",NA,NA,"white","black","50cm",NA
"122",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",761,0.761,1,"15.6-in",NA,NA,"white","black","50cm",NA
"123",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",636,0.636,1,"15.6-in",NA,NA,"white","black","50cm",NA
"124",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",783,0.783,1,"15.6-in",NA,NA,"white","black","50cm",NA
"125",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",672,0.672,1,"15.6-in",NA,NA,"white","black","50cm",NA
"126",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",715,0.715,1,"15.6-in",NA,NA,"white","black","50cm",NA
"127",1,NA,"","","Kreis.png","Ich","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",766,0.766,1,"15.6-in",NA,NA,"white","black","50cm",NA
"128",1,NA,"","","Dreieck.png","Fremder","Nonmatching","Dreieck.png","Kreis.png","Ich","Fremder","k",974,0.974,1,"15.6-in",NA,NA,"white","black","50cm",NA
"129",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",611,0.611,1,"15.6-in",NA,NA,"white","black","50cm",NA
"130",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",938,0.938,0,"15.6-in",NA,NA,"white","black","50cm",NA
"131",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",777,0.777,1,"15.6-in",NA,NA,"white","black","50cm",NA
"132",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",860,0.86,1,"15.6-in",NA,NA,"white","black","50cm",NA
"133",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",1384,1.384,0,"15.6-in",NA,NA,"white","black","50cm",NA
"134",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",971,0.971,1,"15.6-in",NA,NA,"white","black","50cm",NA
"135",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",1294,1.294,1,"15.6-in",NA,NA,"white","black","50cm",NA
