"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standardized_Idnetity","Matching","Response","RT_ms","RT_sec","ACC"
"177",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",813,0.813,1
"178",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",489,0.489,1
"179",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",508,0.508,0
"180",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",421,0.421,1
"181",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",676,0.676,1
"182",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",797,0.797,1
"183",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",582,0.582,1
"184",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1047,1.047,1
"185",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",779,0.779,1
"186",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",488,0.488,1
"187",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",839,0.839,1
"188",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",601,0.601,1
"189",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1260,1.26,1
"190",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",406,0.406,1
"191",1,24,"male","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",580,0.58,1
"192",1,24,"male","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",886,0.886,1
"193",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",926,0.926,1
"194",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",867,0.867,0
"195",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",942,0.942,1
"196",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1367,1.367,1
"197",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",876,0.876,1
"198",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1030,1.03,1
"199",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1344,1.344,1
"200",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",634,0.634,1
"201",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",709,0.709,1
"202",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1086,1.086,1
"203",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",770,0.77,1
"204",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",646,0.646,1
"205",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",705,0.705,0
"206",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",583,0.583,1
"207",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",656,0.656,1
"208",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",619,0.619,1
