Shape,Colour,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Stranger,Strong,1,3,7,2,w,w,o,LIGHT,DARK,2.486507976,0,right,28,M,Self = Positive,19,Turkish
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,3.724169242,1,R,33,F,Self = Negative,20,English
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,2.186754931,1,R,33,F,Self = Negative,20,English
Stranger,Light,0,2,2,3,o,w,o,DARK,LIGHT,2.31858856,1,R,33,F,Self = Negative,20,English
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,1.085264518,1,R,33,F,Self = Negative,20,English
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,1.23712864,1,R,33,F,Self = Negative,20,English
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,0.847060863,1,R,33,F,Self = Negative,20,English
Stranger,Strong,1,2,6,2,o,w,o,DARK,LIGHT,2.120287187,1,R,33,F,Self = Negative,20,English
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.070857422,1,R,33,F,Self = Negative,20,English
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,12.74168373,1,R,20,M,Self = Positive,21,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,6.939790082,1,R,20,M,Self = Positive,21,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,4.449641688,1,R,20,M,Self = Positive,21,Hungarian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,1.195106728,1,R,20,M,Self = Positive,21,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,2.702886867,1,R,20,M,Self = Positive,21,Hungarian
Self,Light,1,1,5,1,w,w,o,LIGHT,DARK,0.958212988,1,R,20,M,Self = Positive,21,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.779488493,1,R,20,M,Self = Positive,21,Hungarian
Self,Light,1,3,7,1,w,w,o,LIGHT,DARK,0.616079902,1,R,20,M,Self = Positive,21,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,16.63099154,1,R,26,F,Self = Negative,22,Turkish
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,3.649741987,1,R,26,F,Self = Negative,22,Turkish
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,8.250300137,1,R,26,F,Self = Negative,22,Turkish
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,1.300032728,1,R,26,F,Self = Negative,22,Turkish
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,8.178492993,1,R,26,F,Self = Negative,22,Turkish
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.231493241,1,R,26,F,Self = Negative,22,Turkish
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.897220181,1,R,26,F,Self = Negative,22,Turkish
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.600571179,1,R,26,F,Self = Negative,22,Turkish
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,2.877979413,1,R,28,M,Self = Positive,23,Greek
Self,Strong,0,1,1,0,w,w,o,LIGHT,DARK,1.158623723,1,R,28,M,Self = Positive,23,Greek
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.067822947,1,R,28,M,Self = Positive,23,Greek
Stranger,Strong,0,3,3,2,o,w,o,LIGHT,DARK,0.700473785,1,R,28,M,Self = Positive,23,Greek
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,0.619785496,1,R,28,M,Self = Positive,23,Greek
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,0.638325911,1,R,28,M,Self = Positive,23,Greek
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,0.536266185,1,R,28,M,Self = Positive,23,Greek
Self,Light,1,3,7,1,w,w,o,LIGHT,DARK,0.510204275,1,R,28,M,Self = Positive,23,Greek
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,12.08308692,1,R,22,F,Self = Negative,24,Hungarian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,6.051052152,1,R,22,F,Self = Negative,24,Hungarian
Self,Light,0,2,2,1,w,w,o,DARK,LIGHT,4.836173973,1,R,22,F,Self = Negative,24,Hungarian
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,2.63817658,1,R,22,F,Self = Negative,24,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,3.239882937,1,R,22,F,Self = Negative,24,Hungarian
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,2.801775603,1,R,22,F,Self = Negative,24,Hungarian
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,1.669073564,1,R,22,F,Self = Negative,24,Hungarian
Self,Strong,1,3,7,0,w,w,o,DARK,LIGHT,1.245617644,1,R,22,F,Self = Negative,24,Hungarian
Self,Strong,0,0,0,0,o,w,o,LIGHT,DARK,16.37578198,0,R,26,M,Self = Positive,25,English
Stranger,Strong,0,1,1,2,o,w,o,LIGHT,DARK,3.660944067,1,R,26,M,Self = Positive,25,English
Stranger,Light,0,2,2,3,w,w,o,LIGHT,DARK,1.942277491,0,R,26,M,Self = Positive,25,English
Self,Light,0,3,3,1,o,w,o,LIGHT,DARK,4.59583308,0,R,26,M,Self = Positive,25,English
Self,Light,1,0,4,1,o,w,o,LIGHT,DARK,1.255261157,0,R,26,M,Self = Positive,25,English
Self,Strong,1,1,5,0,w,w,o,LIGHT,DARK,5.944097469,1,R,26,M,Self = Positive,25,English
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,3.261946516,1,R,26,M,Self = Positive,25,English
Stranger,Strong,1,3,7,2,w,w,o,LIGHT,DARK,0.76733815,0,R,26,M,Self = Positive,25,English
Self,Light,0,0,0,1,w,w,o,DARK,LIGHT,7.224658579,1,R,23,F,Self = Negative,26,Portuguese
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,5.531123557,1,R,23,F,Self = Negative,26,Portuguese
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,2.769071822,1,R,23,F,Self = Negative,26,Portuguese
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,2.589681396,1,R,23,F,Self = Negative,26,Portuguese
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,2.249592087,1,R,23,F,Self = Negative,26,Portuguese
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,0.850916516,1,R,23,F,Self = Negative,26,Portuguese
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,0.820248739,1,R,23,F,Self = Negative,26,Portuguese
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,0.606723524,1,R,23,F,Self = Negative,26,Portuguese
Stranger,Light,0,0,0,3,w,w,o,LIGHT,DARK,33.59582348,0,R,21,M,Self = Positive,27,Hungarian
Self,Light,0,1,1,1,o,w,o,LIGHT,DARK,8.432573488,0,R,21,M,Self = Positive,27,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,7.594095894,1,R,21,M,Self = Positive,27,Hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,6.029815828,1,R,21,M,Self = Positive,27,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,5.423541571,1,R,21,M,Self = Positive,27,Hungarian
Self,Strong,1,1,5,0,w,w,o,LIGHT,DARK,3.074222163,1,R,21,M,Self = Positive,27,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,2.018794978,1,R,21,M,Self = Positive,27,Hungarian
Stranger,Light,1,3,7,3,w,w,o,LIGHT,DARK,1.940272016,0,R,21,M,Self = Positive,27,Hungarian
Stranger,Strong,0,0,0,2,w,w,o,DARK,LIGHT,13.72865441,0,R,23,F,Self = Negative,28,Hungarian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,2.359250649,1,R,23,F,Self = Negative,28,Hungarian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,1.964490566,1,R,23,F,Self = Negative,28,Hungarian
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,2.336979183,1,R,23,F,Self = Negative,28,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.030976894,1,R,23,F,Self = Negative,28,Hungarian
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,1.584840133,1,R,23,F,Self = Negative,28,Hungarian
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,1.108760423,1,R,23,F,Self = Negative,28,Hungarian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,2.15522004,1,R,23,F,Self = Negative,28,Hungarian
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,11.01405568,1,R,28,M,Self = Positive,29,Hungarian
