Subject,SessionDate,Age,Sex,Handedness,MotherTongue,Procedure[SubTrial],LabelOrder,PressAssos.RT,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Stimulus,Congruent,Incongruent,Target.ACC,Target.CRESP,Target.RESP,Target.RT
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,730
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,745
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,742
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,884
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,916
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,923
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,778
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,758
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,796
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1176
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,1043
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,789
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,665
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,690
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,730
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,0,m,z,712
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,991
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,915
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,658
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,835
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,933
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,707
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,930
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,921
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,807
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,731
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1097
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,825
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,883
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,724
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,746
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1352
