Source,Subject,Matching,Comparison,Cohens_d_RT,Cohens_d_ACC
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_57,Nonmatching,Self vs Stranger,0.1315950362811077,0.07072738462250924
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_57,Nonmatching,Self vs Close,0.11812354903361666,-0.11346675521366778
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_58,Matching,Self vs Stranger,0.31555532597984226,-0.12610045990393862
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_58,Matching,Self vs Close,0.4273524623011251,0.04023565490634888
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_58,Nonmatching,Self vs Stranger,0.2016540777205173,-0.4954225535840413
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_58,Nonmatching,Self vs Close,0.1503350764566279,-0.16462761485298816
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_60,Matching,Self vs Stranger,0.16774093986424735,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_60,Matching,Self vs Close,0.9594898628421455,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_60,Nonmatching,Self vs Stranger,-0.5985210754161184,-0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_60,Nonmatching,Self vs Close,-0.12180197419302864,0.4475499980872573
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_61,Matching,Self vs Stranger,1.6095883610180886,0.4201399523302582
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_61,Matching,Self vs Close,1.5491611208781875,0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_61,Nonmatching,Self vs Stranger,-0.037510037379876814,0.003815675834601687
