Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,6. Stimuli Type (SN/SP),4. Handedness,7. Experiment Type (T/NT),3. Age,5. First Language,2. Gender (M/F),1. Participant Number
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.445095375,1,SP,Right,T,19,Azerbaijani,M,50
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.446472817,1,SP,Right,T,19,Azerbaijani,M,50
Self,0,0,0,0,w,w,o,SAD,HAPPY,6.866306797,1,SN,Right,T,23,Hungarian,F,51
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,4.539326779,1,SN,Right,T,23,Hungarian,F,51
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,1.7296092,1,SN,Right,T,23,Hungarian,F,51
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.255643209,1,SN,Right,T,23,Hungarian,F,51
Self,0,0,0,0,w,w,o,SAD,HAPPY,6.335352022,1,SN,Right,T,23,Hungarian,F,52
Self,0,1,1,0,o,w,o,SAD,HAPPY,2.725334564,0,SN,Right,T,23,Hungarian,F,52
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.651956693,1,SN,Right,T,23,Hungarian,F,52
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.885272708,1,SN,Right,T,23,Hungarian,F,52
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,6.988486969,1,SP,Right,T,21,Hungarian,F,53
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.712837491,1,SP,Right,T,21,Hungarian,F,53
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.29567154,1,SP,Right,T,21,Hungarian,F,53
Self,1,1,3,0,w,w,o,HAPPY,SAD,0.727747343,1,SP,Right,T,21,Hungarian,F,53
Self,0,0,0,0,w,w,o,HAPPY,SAD,8.979079336,1,SP,Right,T,28,Hungarian,M,54
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.511469413,1,SP,Right,T,28,Hungarian,M,54
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,0.5827399,1,SP,Right,T,28,Hungarian,M,54
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,0.666651928,1,SP,Right,T,28,Hungarian,M,54
Self,0,0,0,0,w,w,o,SAD,HAPPY,25.3636135,1,SN,Right,T,19,Azerbaijani,M,55
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,4.889553944,1,SN,Right,T,19,Azerbaijani,M,55
Self,1,0,2,0,w,w,o,SAD,HAPPY,2.291740164,1,SN,Right,T,19,Azerbaijani,M,55
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.931751677,1,SN,Right,T,19,Azerbaijani,M,55
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,6.495597312,1,SN,Right,T,24,Hungarian,F,56
Self,0,1,1,0,w,w,o,SAD,HAPPY,2.015019357,1,SN,Right,T,24,Hungarian,F,56
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.465488721,1,SN,Right,T,24,Hungarian,F,56
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.170115018,1,SN,Right,T,24,Hungarian,F,56
