"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC"
"200",2501,1,"You","You","Anna","none","Self","Nonmatching","m",857,0.857,1
"201",2501,1,"You","You","Anna","none","Self","Nonmatching","z",469,0.469,0
"202",2501,1,"You","You","Anna","none","Self","Nonmatching","m",662,0.662,1
"203",2501,1,"You","You","Anna","none","Self","Nonmatching","m",605,0.605,1
"204",2501,1,"You","You","Anna","none","Self","Nonmatching","m",699,0.699,1
"205",2501,1,"You","You","Anna","none","Self","Nonmatching","m",717,0.717,1
"206",2501,1,"You","You","Anna","none","Self","Nonmatching","m",859,0.859,1
"207",2501,1,"You","You","Anna","none","Self","Nonmatching","m",540,0.54,1
"208",2501,1,"You","You","Anna","none","Self","Nonmatching","m",660,0.66,1
"209",2501,1,"You","You","Anna","none","Self","Nonmatching","z",540,0.54,0
"210",2501,1,"You","You","Anna","none","Self","Nonmatching","m",781,0.781,1
"211",2501,1,"You","You","Anna","none","Self","Nonmatching","z",586,0.586,0
"212",2501,1,"You","You","Anna","none","Self","Nonmatching","m",592,0.592,1
"213",2501,1,"You","You","Anna","none","Self","Nonmatching","m",649,0.649,1
"214",2501,1,"You","You","Anna","none","Self","Nonmatching","m",450,0.45,1
"215",2501,1,"You","You","Anna","none","Self","Nonmatching","m",718,0.718,1
"216",2501,1,"You","You","Anna","none","Self","Nonmatching","m",886,0.886,1
"217",2501,1,"You","You","Anna","none","Self","Nonmatching","m",1073,1.073,1
"218",2501,1,"You","You","Anna","none","Self","Nonmatching","m",547,0.547,1
"219",2501,1,"You","You","Anna","none","Self","Nonmatching","m",691,0.691,1
"220",2501,1,"You","You","Anna","none","Self","Nonmatching","m",524,0.524,1
"221",2501,1,"You","You","Anna","none","Self","Nonmatching","m",632,0.632,1
"222",2501,1,"You","You","Anna","none","Self","Nonmatching","z",588,0.588,0
"223",2501,1,"You","You","Anna","none","Self","Nonmatching","m",798,0.798,1
"224",2501,1,"You","You","Anna","none","Self","Nonmatching","m",516,0.516,1
"225",2501,1,"You","You","Anna","none","Self","Nonmatching","m",630,0.63,1
"226",2501,1,"You","You","Anna","none","Self","Nonmatching","m",783,0.783,1
"227",2501,1,"You","You","Anna","none","Self","Nonmatching","m",509,0.509,1
"228",2501,1,"You","You","Anna","none","Self","Nonmatching","m",488,0.488,1
"229",2501,1,"You","You","Anna","none","Self","Nonmatching","m",1129,1.129,1
"230",2501,1,"You","You","Anna","none","Self","Nonmatching","m",390,0.39,1
"231",2501,1,"You","You","Anna","none","Self","Nonmatching","z",628,0.628,0
"232",2501,1,"You","You","Anna","none","Self","Nonmatching","m",823,0.823,1
"233",2501,1,"You","You","Anna","none","Self","Nonmatching","m",663,0.663,1
"234",2501,1,"You","You","Anna","none","Self","Nonmatching","m",868,0.868,1
"235",2501,1,"You","You","Anna","none","Self","Nonmatching","m",876,0.876,1
"236",2501,1,"You","You","Anna","none","Self","Nonmatching","m",596,0.596,1
"237",2501,1,"You","You","Anna","none","Self","Nonmatching","m",770,0.77,1
"238",2501,1,"You","You","Anna","none","Self","Nonmatching","m",766,0.766,1
"239",2501,1,"You","You","Anna","none","Self","Nonmatching","m",482,0.482,1
"240",2501,1,"You","You","Anna","none","Self","Nonmatching","m",788,0.788,1
"241",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",973,0.973,1
"242",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",510,0.51,1
"243",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",518,0.518,1
"244",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",613,0.613,1
"245",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",531,0.531,0
"246",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",472,0.472,0
"247",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",604,0.604,1
"248",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",894,0.894,1
"249",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",817,0.817,1
"250",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",885,0.885,1
"251",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",700,0.7,1
"252",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",672,0.672,1
"253",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",532,0.532,1
"254",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",648,0.648,1
"255",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",512,0.512,0
"256",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",696,0.696,1
"257",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",617,0.617,1
"258",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",1080,1.08,1
"259",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",440,0.44,1
"260",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",608,0.608,1
"261",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",741,0.741,0
"262",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",652,0.652,1
"263",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",525,0.525,1
"264",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",694,0.694,1
"265",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",740,0.74,1
"266",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",817,0.817,1
"267",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",471,0.471,0
"268",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",596,0.596,1
"269",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",597,0.597,1
"270",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",649,0.649,1
"271",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",767,0.767,1
"272",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",716,0.716,1
"273",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",1021,1.021,1
"274",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",764,0.764,1
"275",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",796,0.796,1
"276",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",726,0.726,1
"277",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",653,0.653,1
"278",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",578,0.578,1
"279",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",824,0.824,1
"280",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",952,0.952,1
"281",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",500,0.5,1
"282",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",780,0.78,1
"283",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",640,0.64,1
"284",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",659,0.659,1
"285",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",692,0.692,1
"286",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",567,0.567,0
"287",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",518,0.518,1
"288",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",473,0.473,0
"289",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","z",373,0.373,0
"290",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",601,0.601,1
"291",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",469,0.469,1
"292",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",568,0.568,1
"293",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",751,0.751,1
"294",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",567,0.567,1
"295",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",657,0.657,1
"296",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",779,0.779,1
"297",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",451,0.451,1
"298",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",671,0.671,1
"299",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",681,0.681,1
"300",2501,1,"Anna","You","Anna","none","Friend","Nonmatching","m",489,0.489,1
"301",2501,1,"none","You","Anna","none","None","Nonmatching","m",761,0.761,1
"302",2501,1,"none","You","Anna","none","None","Nonmatching","m",597,0.597,1
"303",2501,1,"none","You","Anna","none","None","Nonmatching","m",641,0.641,1
"304",2501,1,"none","You","Anna","none","None","Nonmatching","m",578,0.578,1
"305",2501,1,"none","You","Anna","none","None","Nonmatching","m",578,0.578,1
"306",2501,1,"none","You","Anna","none","None","Nonmatching","m",640,0.64,1
"307",2501,1,"none","You","Anna","none","None","Nonmatching","m",695,0.695,1
"308",2501,1,"none","You","Anna","none","None","Nonmatching","m",605,0.605,1
"309",2501,1,"none","You","Anna","none","None","Nonmatching","m",625,0.625,1
"310",2501,1,"none","You","Anna","none","None","Nonmatching","m",459,0.459,1
"311",2501,1,"none","You","Anna","none","None","Nonmatching","m",453,0.453,1
"312",2501,1,"none","You","Anna","none","None","Nonmatching","m",596,0.596,1
"313",2501,1,"none","You","Anna","none","None","Nonmatching","m",594,0.594,1
"314",2501,1,"none","You","Anna","none","None","Nonmatching","m",694,0.694,1
"315",2501,1,"none","You","Anna","none","None","Nonmatching","m",662,0.662,1
"316",2501,1,"none","You","Anna","none","None","Nonmatching","m",591,0.591,1
"317",2501,1,"none","You","Anna","none","None","Nonmatching","m",490,0.49,1
"318",2501,1,"none","You","Anna","none","None","Nonmatching","m",654,0.654,1
"319",2501,1,"none","You","Anna","none","None","Nonmatching","m",648,0.648,1
"320",2501,1,"none","You","Anna","none","None","Nonmatching","m",633,0.633,1
"321",2501,1,"none","You","Anna","none","None","Nonmatching","m",493,0.493,1
"322",2501,1,"none","You","Anna","none","None","Nonmatching","m",665,0.665,1
"323",2501,1,"none","You","Anna","none","None","Nonmatching","m",593,0.593,1
"324",2501,1,"none","You","Anna","none","None","Nonmatching","m",728,0.728,1
"325",2501,1,"none","You","Anna","none","None","Nonmatching","m",695,0.695,1
"326",2501,1,"none","You","Anna","none","None","Nonmatching","m",706,0.706,1
"327",2501,1,"none","You","Anna","none","None","Nonmatching","m",588,0.588,1
"328",2501,1,"none","You","Anna","none","None","Nonmatching","m",641,0.641,1
"329",2501,1,"none","You","Anna","none","None","Nonmatching","m",616,0.616,1
"330",2501,1,"none","You","Anna","none","None","Nonmatching","m",698,0.698,1
"331",2501,1,"none","You","Anna","none","None","Nonmatching","m",657,0.657,1
"332",2501,1,"none","You","Anna","none","None","Nonmatching","m",1236,1.236,1
"333",2501,1,"none","You","Anna","none","None","Nonmatching","m",458,0.458,1
"334",2501,1,"none","You","Anna","none","None","Nonmatching","m",639,0.639,1
"335",2501,1,"none","You","Anna","none","None","Nonmatching","m",501,0.501,1
"336",2501,1,"none","You","Anna","none","None","Nonmatching","z",503,0.503,0
"337",2501,1,"none","You","Anna","none","None","Nonmatching","m",622,0.622,1
"338",2501,1,"none","You","Anna","none","None","Nonmatching","m",669,0.669,1
"339",2501,1,"none","You","Anna","none","None","Nonmatching","m",965,0.965,1
"340",2501,1,"none","You","Anna","none","None","Nonmatching","m",672,0.672,1
"341",2501,1,"none","You","Anna","none","None","Nonmatching","m",698,0.698,1
"342",2501,1,"none","You","Anna","none","None","Nonmatching","m",809,0.809,1
"343",2501,1,"none","You","Anna","none","None","Nonmatching","m",897,0.897,1
"344",2501,1,"none","You","Anna","none","None","Nonmatching","z",533,0.533,0
"345",2501,1,"none","You","Anna","none","None","Nonmatching","m",492,0.492,1
"346",2501,1,"none","You","Anna","none","None","Nonmatching","m",581,0.581,1
"347",2501,1,"none","You","Anna","none","None","Nonmatching","m",432,0.432,1
"348",2501,1,"none","You","Anna","none","None","Nonmatching","m",610,0.61,1
"349",2501,1,"none","You","Anna","none","None","Nonmatching","m",628,0.628,1
"350",2501,1,"none","You","Anna","none","None","Nonmatching","m",456,0.456,1
"351",2501,1,"none","You","Anna","none","None","Nonmatching","m",721,0.721,1
"352",2501,1,"none","You","Anna","none","None","Nonmatching","m",688,0.688,1
"353",2501,1,"none","You","Anna","none","None","Nonmatching","m",671,0.671,1
"354",2501,1,"none","You","Anna","none","None","Nonmatching","m",653,0.653,1
"355",2501,1,"none","You","Anna","none","None","Nonmatching","m",672,0.672,1
"356",2501,1,"none","You","Anna","none","None","Nonmatching","z",468,0.468,0
"357",2501,1,"none","You","Anna","none","None","Nonmatching","m",729,0.729,1
"358",2501,1,"none","You","Anna","none","None","Nonmatching","m",606,0.606,1
"359",2501,1,"none","You","Anna","none","None","Nonmatching","m",501,0.501,1
"360",2501,1,"none","You","Anna","none","None","Nonmatching","m",532,0.532,1
