"","Subject","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"128",2,3,8,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",651,0.651,1
"129",2,3,9,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",773,0.773,1
"130",2,3,10,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",927,0.927,1
"131",2,3,11,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",746,0.746,1
"132",2,3,12,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",1156,1.156,1
"133",2,3,13,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",1005,1.005,1
"134",2,3,14,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",935,0.935,1
"135",2,3,15,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",929,0.929,1
"136",2,3,16,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1083,1.083,1
"137",2,3,17,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",901,0.901,1
"138",2,3,18,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",1071,1.071,1
"139",2,3,19,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",826,0.826,1
"140",2,3,20,"C.bmp","Bekende","Matching","Friend","Friend","Close","n",1124,1.124,0
"141",2,3,21,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","",0,0,0
"142",2,3,22,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",968,0.968,1
"143",2,3,23,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","m",626,0.626,0
"144",2,3,24,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",588,0.588,1
"145",2,3,25,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",821,0.821,1
"146",2,3,26,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",991,0.991,1
"147",2,3,27,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",698,0.698,1
"148",2,3,28,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",884,0.884,1
"149",2,3,29,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",1038,1.038,1
"150",2,3,30,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1192,1.192,1
"151",2,3,31,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",802,0.802,1
"152",2,3,32,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",1036,1.036,1
