"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"52",1002,2,"You","You","none","Masha","Self","Matching","m",614,0.614,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"53",1002,2,"You","You","none","Masha","Self","Matching","m",606,0.606,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"54",1002,2,"You","You","none","Masha","Self","Matching","m",602,0.602,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"55",1002,2,"You","You","none","Masha","Self","Matching","m",570,0.57,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"56",1002,2,"You","You","none","Masha","Self","Matching","m",593,0.593,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"57",1002,2,"You","You","none","Masha","Self","Matching","m",609,0.609,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"58",1002,2,"You","You","none","Masha","Self","Matching","m",579,0.579,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"59",1002,2,"You","You","none","Masha","Self","Matching","m",491,0.491,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"60",1002,2,"You","You","none","Masha","Self","Matching","m",499,0.499,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"61",1002,2,"Masha","You","none","Masha","Friend","Matching","m",350,0.35,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"62",1002,2,"Masha","You","none","Masha","Friend","Matching","m",700,0.7,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"63",1002,2,"Masha","You","none","Masha","Friend","Matching","m",660,0.66,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"64",1002,2,"Masha","You","none","Masha","Friend","Matching","m",743,0.743,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"65",1002,2,"Masha","You","none","Masha","Friend","Matching","m",606,0.606,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"66",1002,2,"Masha","You","none","Masha","Friend","Matching","m",625,0.625,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"67",1002,2,"Masha","You","none","Masha","Friend","Matching","m",548,0.548,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"68",1002,2,"Masha","You","none","Masha","Friend","Matching","m",563,0.563,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"69",1002,2,"Masha","You","none","Masha","Friend","Matching","m",597,0.597,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"70",1002,2,"Masha","You","none","Masha","Friend","Matching","m",571,0.571,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"71",1002,2,"Masha","You","none","Masha","Friend","Matching","m",629,0.629,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"72",1002,2,"Masha","You","none","Masha","Friend","Matching","m",808,0.808,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"73",1002,2,"Masha","You","none","Masha","Friend","Matching","m",620,0.62,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"74",1002,2,"Masha","You","none","Masha","Friend","Matching","m",574,0.574,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"75",1002,2,"Masha","You","none","Masha","Friend","Matching","m",592,0.592,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"76",1002,2,"Masha","You","none","Masha","Friend","Matching","m",555,0.555,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"77",1002,2,"Masha","You","none","Masha","Friend","Matching","m",728,0.728,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"78",1002,2,"Masha","You","none","Masha","Friend","Matching","m",440,0.44,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"79",1002,2,"Masha","You","none","Masha","Friend","Matching","m",562,0.562,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"80",1002,2,"Masha","You","none","Masha","Friend","Matching","m",522,0.522,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"81",1002,2,"Masha","You","none","Masha","Friend","Matching","m",441,0.441,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"82",1002,2,"Masha","You","none","Masha","Friend","Matching","m",533,0.533,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"83",1002,2,"Masha","You","none","Masha","Friend","Matching","m",481,0.481,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"84",1002,2,"Masha","You","none","Masha","Friend","Matching","m",595,0.595,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"85",1002,2,"Masha","You","none","Masha","Friend","Matching","m",502,0.502,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"86",1002,2,"Masha","You","none","Masha","Friend","Matching","m",541,0.541,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"87",1002,2,"Masha","You","none","Masha","Friend","Matching","m",544,0.544,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"88",1002,2,"Masha","You","none","Masha","Friend","Matching","m",747,0.747,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"89",1002,2,"Masha","You","none","Masha","Friend","Matching","m",553,0.553,1,"21.5-inch",NA,NA,"white","grey",NA,NA
