"","Subject","Age_Participant1","Age_Participant2","StrangerShape","P1Shape","P2Shape","Shape","Matching","Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC","Phase"
"187",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",816.808639,0.816808639,1,2
"188",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",850.202941,0.850202941,1,2
"189",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",717.07974,0.71707974,1,2
"190",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",666.866692,0.666866692,1,2
"191",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",1016.83888,1.01683888,1,2
"192",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",816.882859,0.816882859,1,2
"193",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",967.074706,0.967074706,1,2
"194",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",750.072147,0.750072147,1,2
"195",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",616.84038,0.61684038,1,2
"196",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",883.526575,0.883526575,1,2
"197",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",983.588675,0.983588675,1,2
"198",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",800.182155,0.800182155,1,2
"199",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",1216.768055,1.216768055,1,2
"200",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",600.160205,0.600160205,1,2
"201",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",866.783629,0.866783629,1,2
"202",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",866.851533,0.866851533,1,2
"203",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",617.079226,0.617079226,1,2
"204",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",666.850111,0.666850111,1,2
