"X","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
201,1,"Matching","Stranger",1,900,0.9,0
202,1,"Matching","Stranger",1,484,0.484,0
203,1,"Matching","Stranger",1,450,0.45,1
204,1,"Matching","Stranger",1,667,0.667,0
205,1,"Matching","Stranger",1,917,0.917,0
206,1,"Matching","Stranger",1,884,0.884,1
207,1,"Matching","Stranger",1,850,0.85,1
208,1,"Matching","Stranger",1,467,0.467,1
209,1,"Matching","Stranger",1,633,0.633,1
210,1,"Matching","Stranger",1,817,0.817,1
211,1,"Matching","Stranger",1,400,0.4,1
212,1,"Matching","Stranger",1,534,0.534,1
213,1,"Matching","Stranger",1,334,0.334,0
214,1,"Matching","Stranger",1,750,0.75,1
215,1,"Matching","Stranger",1,817,0.817,1
216,1,"Matching","Stranger",1,533,0.533,1
217,1,"Matching","Stranger",1,600,0.6,1
218,1,"Matching","Stranger",1,683,0.683,1
219,1,"Matching","Stranger",1,567,0.567,0
220,1,"Matching","Stranger",1,650,0.65,1
221,1,"Matching","Stranger",1,584,0.584,1
222,1,"Matching","Stranger",1,650,0.65,1
223,1,"Matching","Stranger",1,933,0.933,0
224,1,"Matching","Stranger",1,850,0.85,1
225,1,"Matching","Stranger",1,1000,1,1
226,1,"Matching","Stranger",1,817,0.817,1
227,1,"Matching","Stranger",1,417,0.417,1
228,1,"Matching","Stranger",1,667,0.667,1
229,1,"Matching","Stranger",1,767,0.767,1
230,1,"Matching","Stranger",1,600,0.6,1
