"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
352,9612,"Matching","Father",660,0.66,1
353,9612,"Matching","Father",633,0.633,1
354,9612,"Matching","Father",644,0.644,1
355,9612,"Matching","Father",485,0.485,1
356,9612,"Matching","Father",663,0.663,1
357,9612,"Matching","Father",899,0.899,1
358,9612,"Matching","Father",727,0.727,1
359,9612,"Matching","Father",535,0.535,1
360,9612,"Matching","Father",665,0.665,1
361,9612,"Matching","Father",666,0.666,1
362,9612,"Matching","Father",555,0.555,1
363,9612,"Matching","Father",440,0.44,1
364,9612,"Matching","Father",550,0.55,1
365,9612,"Matching","Father",608,0.608,1
366,9612,"Matching","Father",1492,1.492,1
367,9612,"Matching","Father",818,0.818,1
368,9612,"Matching","Father",707,0.707,1
369,9612,"Matching","Father",956,0.956,1
370,9612,"Matching","Father",735,0.735,1
371,9612,"Matching","Father",1219,1.219,1
372,9612,"Matching","Father",787,0.787,1
373,9612,"Matching","Father",631,0.631,1
374,9612,"Matching","Father",900,0.9,1
375,9612,"Matching","Father",931,0.931,1
376,9612,"Matching","Father",1042,1.042,1
377,9612,"Matching","Father",548,0.548,1
378,9612,"Matching","Father",602,0.602,1
379,9612,"Matching","Father",713,0.713,1
380,9612,"Matching","Father",616,0.616,1
381,9612,"Matching","Father",744,0.744,1
382,9612,"Matching","Father",839,0.839,1
383,9612,"Matching","Father",811,0.811,1
384,9612,"Matching","Father",547,0.547,1
385,9612,"Matching","Stranger",931,0.931,1
386,9612,"Matching","Stranger",746,0.746,1
387,9612,"Matching","Stranger",1348,1.348,1
388,9612,"Matching","Stranger",840,0.84,1
389,9612,"Matching","Stranger",884,0.884,1
390,9612,"Matching","Stranger",837,0.837,1
391,9612,"Matching","Stranger",914,0.914,1
392,9612,"Matching","Stranger",873,0.873,1
393,9612,"Matching","Stranger",852,0.852,1
394,9612,"Matching","Stranger",866,0.866,1
395,9612,"Matching","Stranger",611,0.611,1
396,9612,"Matching","Stranger",984,0.984,1
397,9612,"Matching","Stranger",914,0.914,1
398,9612,"Matching","Stranger",648,0.648,1
399,9612,"Matching","Stranger",948,0.948,1
400,9612,"Matching","Stranger",1012,1.012,0
401,9612,"Matching","Stranger",767,0.767,1
402,9612,"Matching","Stranger",745,0.745,1
403,9612,"Matching","Stranger",611,0.611,1
404,9612,"Matching","Stranger",735,0.735,0
405,9612,"Matching","Stranger",816,0.816,1
406,9612,"Matching","Stranger",695,0.695,1
407,9612,"Matching","Stranger",813,0.813,1
408,9612,"Matching","Stranger",712,0.712,1
409,9612,"Matching","Stranger",798,0.798,1
410,9612,"Matching","Stranger",921,0.921,1
411,9612,"Matching","Stranger",514,0.514,1
412,9612,"Matching","Stranger",953,0.953,1
413,9612,"Matching","Stranger",1027,1.027,1
414,9612,"Matching","Stranger",851,0.851,1
415,9612,"Matching","Stranger",695,0.695,1
416,9612,"Matching","Stranger",631,0.631,1
417,9612,"Matching","Stranger",1176,1.176,1
418,9612,"Matching","Stranger",898,0.898,1
419,9612,"Matching","Stranger",805,0.805,1
420,9612,"Matching","Stranger",805,0.805,1
421,9612,"Matching","Stranger",532,0.532,1
422,9612,"Matching","Stranger",1095,1.095,1
423,9612,"Matching","Stranger",995,0.995,1
424,9612,"Matching","Stranger",1156,1.156,1
425,9612,"Matching","Stranger",1220,1.22,1
426,9612,"Matching","Stranger",626,0.626,1
427,9612,"Matching","Stranger",900,0.9,1
428,9612,"Matching","Stranger",943,0.943,1
429,9612,"Matching","Stranger",819,0.819,1
430,9612,"Matching","Stranger",950,0.95,1
431,9612,"Matching","Stranger",822,0.822,1
432,9612,"Matching","Stranger",713,0.713,1
433,9612,"Matching","Stranger",616,0.616,1
434,9612,"Matching","Stranger",611,0.611,1
435,9612,"Matching","Stranger",908,0.908,1
436,9612,"Matching","Stranger",883,0.883,1
437,9612,"Matching","Stranger",1204,1.204,1
438,9612,"Matching","Stranger",758,0.758,1
439,9612,"Matching","Stranger",1001,1.001,1
440,9612,"Matching","Stranger",1028,1.028,1
441,9612,"Matching","Stranger",868,0.868,1
442,9612,"Matching","Stranger",793,0.793,1
443,9612,"Matching","Stranger",661,0.661,1
444,9612,"Nonmatching","Self",819,0.819,0
445,9612,"Nonmatching","Self",1141,1.141,1
446,9612,"Nonmatching","Self",1225,1.225,1
447,9612,"Nonmatching","Self",1260,1.26,1
448,9612,"Nonmatching","Self",931,0.931,1
449,9612,"Nonmatching","Self",884,0.884,1
450,9612,"Nonmatching","Self",594,0.594,0
451,9612,"Nonmatching","Self",1085,1.085,1
452,9612,"Nonmatching","Self",1411,1.411,1
453,9612,"Nonmatching","Self",1159,1.159,1
454,9612,"Nonmatching","Self",1015,1.015,1
455,9612,"Nonmatching","Self",1383,1.383,1
456,9612,"Nonmatching","Self",777,0.777,1
457,9612,"Nonmatching","Self",670,0.67,1
458,9612,"Nonmatching","Self",1063,1.063,1
459,9612,"Nonmatching","Self",868,0.868,1
460,9612,"Nonmatching","Self",823,0.823,1
461,9612,"Nonmatching","Self",947,0.947,1
462,9612,"Nonmatching","Self",755,0.755,1
463,9612,"Nonmatching","Self",996,0.996,1
464,9612,"Nonmatching","Self",582,0.582,1
465,9612,"Nonmatching","Self",1127,1.127,1
466,9612,"Nonmatching","Self",1027,1.027,1
467,9612,"Nonmatching","Self",1141,1.141,1
468,9612,"Nonmatching","Self",615,0.615,0
469,9612,"Nonmatching","Self",823,0.823,1
470,9612,"Nonmatching","Self",787,0.787,1
471,9612,"Nonmatching","Self",696,0.696,1
472,9612,"Nonmatching","Self",969,0.969,1
473,9612,"Nonmatching","Self",708,0.708,1
474,9612,"Nonmatching","Self",951,0.951,1
475,9612,"Nonmatching","Self",898,0.898,1
476,9612,"Nonmatching","Self",931,0.931,1
477,9612,"Nonmatching","Self",995,0.995,1
478,9612,"Nonmatching","Self",711,0.711,1
479,9612,"Nonmatching","Self",854,0.854,1
480,9612,"Nonmatching","Self",711,0.711,1
481,9612,"Nonmatching","Self",900,0.9,1
482,9612,"Nonmatching","Self",775,0.775,1
483,9612,"Nonmatching","Self",900,0.9,1
484,9612,"Nonmatching","Self",1354,1.354,1
485,9612,"Nonmatching","Self",734,0.734,1
486,9612,"Nonmatching","Self",866,0.866,1
487,9612,"Nonmatching","Self",787,0.787,1
488,9612,"Nonmatching","Self",1192,1.192,1
489,9612,"Nonmatching","Self",740,0.74,1
490,9612,"Nonmatching","Self",979,0.979,1
491,9612,"Nonmatching","Self",615,0.615,1
492,9612,"Nonmatching","Self",823,0.823,1
493,9612,"Nonmatching","Self",773,0.773,1
494,9612,"Nonmatching","Father",1067,1.067,1
495,9612,"Nonmatching","Father",976,0.976,1
496,9612,"Nonmatching","Father",737,0.737,1
497,9612,"Nonmatching","Father",1034,1.034,1
498,9612,"Nonmatching","Father",1379,1.379,1
499,9612,"Nonmatching","Father",464,0.464,0
500,9612,"Nonmatching","Father",898,0.898,1
501,9612,"Nonmatching","Father",721,0.721,1
502,9612,"Nonmatching","Father",1126,1.126,1
503,9612,"Nonmatching","Father",742,0.742,1
504,9612,"Nonmatching","Father",795,0.795,1
505,9612,"Nonmatching","Father",963,0.963,1
506,9612,"Nonmatching","Father",905,0.905,1
507,9612,"Nonmatching","Father",1300,1.3,1
508,9612,"Nonmatching","Father",869,0.869,1
509,9612,"Nonmatching","Father",905,0.905,1
510,9612,"Nonmatching","Father",1137,1.137,1
511,9612,"Nonmatching","Father",901,0.901,1
512,9612,"Nonmatching","Father",854,0.854,1
513,9612,"Nonmatching","Father",953,0.953,1
514,9612,"Nonmatching","Father",1088,1.088,1
515,9612,"Nonmatching","Father",568,0.568,1
516,9612,"Nonmatching","Father",803,0.803,1
517,9612,"Nonmatching","Father",837,0.837,1
518,9612,"Nonmatching","Father",714,0.714,1
519,9612,"Nonmatching","Father",1139,1.139,1
520,9612,"Nonmatching","Father",727,0.727,1
521,9612,"Nonmatching","Father",918,0.918,1
522,9612,"Nonmatching","Father",1012,1.012,1
523,9612,"Nonmatching","Father",598,0.598,0
524,9612,"Nonmatching","Father",1097,1.097,1
525,9612,"Nonmatching","Father",626,0.626,1
526,9612,"Nonmatching","Father",1262,1.262,1
527,9612,"Nonmatching","Father",935,0.935,1
528,9612,"Nonmatching","Father",612,0.612,0
529,9612,"Nonmatching","Father",773,0.773,1
530,9612,"Nonmatching","Father",819,0.819,1
531,9612,"Nonmatching","Father",887,0.887,1
532,9612,"Nonmatching","Father",1206,1.206,1
533,9612,"Nonmatching","Father",899,0.899,1
534,9612,"Nonmatching","Father",1123,1.123,1
535,9612,"Nonmatching","Father",834,0.834,1
536,9612,"Nonmatching","Father",754,0.754,1
537,9612,"Nonmatching","Father",845,0.845,1
538,9612,"Nonmatching","Father",762,0.762,1
539,9612,"Nonmatching","Father",717,0.717,0
540,9612,"Nonmatching","Father",677,0.677,0
541,9612,"Nonmatching","Father",642,0.642,1
542,9612,"Nonmatching","Father",1126,1.126,1
543,9612,"Nonmatching","Father",916,0.916,1
544,9612,"Nonmatching","Stranger",1172,1.172,1
545,9612,"Nonmatching","Stranger",872,0.872,1
546,9612,"Nonmatching","Stranger",905,0.905,1
547,9612,"Nonmatching","Stranger",1400,1.4,1
548,9612,"Nonmatching","Stranger",856,0.856,1
549,9612,"Nonmatching","Stranger",1155,1.155,1
550,9612,"Nonmatching","Stranger",915,0.915,1
551,9612,"Nonmatching","Stranger",807,0.807,1
552,9612,"Nonmatching","Stranger",748,0.748,1
553,9612,"Nonmatching","Stranger",854,0.854,1
554,9612,"Nonmatching","Stranger",787,0.787,1
555,9612,"Nonmatching","Stranger",761,0.761,1
556,9612,"Nonmatching","Stranger",631,0.631,0
557,9612,"Nonmatching","Stranger",998,0.998,1
558,9612,"Nonmatching","Stranger",680,0.68,1
559,9612,"Nonmatching","Stranger",885,0.885,1
560,9612,"Nonmatching","Stranger",800,0.8,1
561,9612,"Nonmatching","Stranger",708,0.708,1
562,9612,"Nonmatching","Stranger",711,0.711,1
563,9612,"Nonmatching","Stranger",833,0.833,1
564,9612,"Nonmatching","Stranger",807,0.807,1
565,9612,"Nonmatching","Stranger",758,0.758,1
566,9612,"Nonmatching","Stranger",745,0.745,1
567,9612,"Nonmatching","Stranger",883,0.883,1
568,9612,"Nonmatching","Stranger",854,0.854,1
569,9612,"Nonmatching","Stranger",760,0.76,1
