"Subject","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
2,"Friend","Matching","Friend","Friend","Friend","Close","2",601,0.601,0
2,"Self","Matching","Self","Self","Self","Self","2",595,0.595,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",354,0.354,0
2,"Self","Matching","Self","Self","Self","Self","2",452,0.452,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",494,0.494,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",497,0.497,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",604,0.604,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",488,0.488,1
2,"Self","Matching","Self","Self","Self","Self","2",651,0.651,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",631,0.631,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",703,0.703,1
2,"Self","Matching","Self","Self","Self","Self","2",388,0.388,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",717,0.717,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",488,0.488,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",587,0.587,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",579,0.579,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",422,0.422,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",599,0.599,1
2,"Self","Matching","Self","Self","Self","Self","2",499,0.499,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",563,0.563,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",594,0.594,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",520,0.52,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",0,0,0
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",640,0.64,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",543,0.543,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",765,0.765,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",475,0.475,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",626,0.626,1
2,"Self","Matching","Self","Self","Self","Self","2",411,0.411,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",443,0.443,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",537,0.537,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",594,0.594,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",662,0.662,1
2,"Self","Matching","Self","Self","Self","Self","2",852,0.852,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",526,0.526,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",522,0.522,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",399,0.399,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",424,0.424,1
2,"Self","Matching","Self","Self","Self","Self","2",395,0.395,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",583,0.583,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",670,0.67,1
2,"Self","Matching","Self","Self","Self","Self","2",483,0.483,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",672,0.672,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",589,0.589,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",777,0.777,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",1133,1.133,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",734,0.734,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",505,0.505,0
2,"Self","Nonmatching","Friend","Self","Self","Self","2",466,0.466,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",454,0.454,1
